model,version,table,field,type,length,precision,scale,default
omop,v6.0,visit_detail,visit_detail_id,integer,,,,
omop,v6.0,visit_detail,person_id,integer,,,,
omop,v6.0,visit_detail,provider_id,integer,,,,
omop,v6.0,visit_detail,visit_detail_concept_id,integer,,,,
omop,v6.0,visit_detail,visit_detail_end_date,date,,,,
omop,v6.0,visit_detail,visit_detail_end_datetime,datetime,,,,
omop,v6.0,visit_detail,visit_occurrence_id,integer,,,,
omop,v6.0,visit_detail,visit_detail_source_concept_id,integer,,,,
omop,v6.0,visit_detail,visit_detail_source_value,string,,,,
omop,v6.0,visit_detail,visit_detail_start_date,date,,,,
omop,v6.0,visit_detail,visit_detail_start_datetime,datetime,,,,
omop,v6.0,visit_detail,visit_detail_type_concept_id,integer,,,,
omop,v6.0,visit_detail,admitted_from_source_concept_id,integer,,,,
omop,v6.0,visit_detail,discharge_to_concept_id,integer,,,,
omop,v6.0,visit_detail,preceding_visit_detail_id,integer,,,,
omop,v6.0,visit_detail,visit_detail_parent_id,integer,,,,
omop,v6.0,visit_detail,admitted_from_source_value,string,,,,
omop,v6.0,visit_detail,discharge_to_source_value,string,,,,
omop,v6.0,visit_detail,care_site_id,integer,,,,
