model,version,table,field,type,length,precision,scale,default
pcornet,2.0.0,condition,condition,string,18,,,
pcornet,2.0.0,condition,condition_source,string,2,,,
pcornet,2.0.0,condition,condition_status,string,2,,,
pcornet,2.0.0,condition,condition_type,string,2,,,
pcornet,2.0.0,condition,encounterid,string,256,,,
pcornet,2.0.0,condition,patid,string,256,,,
pcornet,2.0.0,condition,raw_condition,string,256,,,
pcornet,2.0.0,condition,raw_condition_source,string,256,,,
pcornet,2.0.0,condition,raw_condition_status,string,256,,,
pcornet,2.0.0,condition,raw_condition_type,string,256,,,
pcornet,2.0.0,condition,report_date,string,10,,,
pcornet,2.0.0,condition,resolve_date,string,10,,,
