model,version,table,field,type,length,precision,scale,default
pcornet,2.0.0,lab_result_cm,abn_ind,string,2,,,
pcornet,2.0.0,lab_result_cm,encounterid,string,256,,,
pcornet,2.0.0,lab_result_cm,lab_loinc,string,10,,,
pcornet,2.0.0,lab_result_cm,lab_name,string,10,,,
pcornet,2.0.0,lab_result_cm,lab_order_date,string,10,,,
pcornet,2.0.0,lab_result_cm,lab_px,string,11,,,
pcornet,2.0.0,lab_result_cm,lab_px_type,string,2,,,
pcornet,2.0.0,lab_result_cm,modifier_high,string,2,,,
pcornet,2.0.0,lab_result_cm,modifier_low,string,2,,,
pcornet,2.0.0,lab_result_cm,norm_range_high,string,10,,,
pcornet,2.0.0,lab_result_cm,norm_range_low,string,10,,,
pcornet,2.0.0,lab_result_cm,patid,string,256,,,
pcornet,2.0.0,lab_result_cm,priority,string,2,,,
pcornet,2.0.0,lab_result_cm,raw_facility_code,string,256,,,
pcornet,2.0.0,lab_result_cm,raw_lab_code,string,256,,,
pcornet,2.0.0,lab_result_cm,raw_lab_name,string,256,,,
pcornet,2.0.0,lab_result_cm,raw_order_dept,string,256,,,
pcornet,2.0.0,lab_result_cm,raw_panel,string,256,,,
pcornet,2.0.0,lab_result_cm,raw_result,string,256,,,
pcornet,2.0.0,lab_result_cm,raw_unit,string,256,,,
pcornet,2.0.0,lab_result_cm,result_date,string,10,,,
pcornet,2.0.0,lab_result_cm,result_loc,string,2,,,
pcornet,2.0.0,lab_result_cm,result_modifier,string,2,,,
pcornet,2.0.0,lab_result_cm,result_num,integer,,,,
pcornet,2.0.0,lab_result_cm,result_qual,string,12,,,
pcornet,2.0.0,lab_result_cm,result_time,string,5,,,
pcornet,2.0.0,lab_result_cm,result_unit,string,11,,,
pcornet,2.0.0,lab_result_cm,specimen_date,string,10,,,
pcornet,2.0.0,lab_result_cm,specimen_source,string,10,,,
pcornet,2.0.0,lab_result_cm,specimen_time,string,5,,,
