model,version,table,field,type,length,precision,scale,default
pcornet,2.0.0,procedure,admit_date,string,10,,,
pcornet,2.0.0,procedure,enc_type,string,2,,,
pcornet,2.0.0,procedure,encounterid,string,256,,,
pcornet,2.0.0,procedure,patid,string,256,,,
pcornet,2.0.0,procedure,providerid,string,256,,,
pcornet,2.0.0,procedure,px,string,11,,,
pcornet,2.0.0,procedure,px_date,string,10,,,
pcornet,2.0.0,procedure,px_source,string,256,,,
pcornet,2.0.0,procedure,px_type,string,2,,,
pcornet,2.0.0,procedure,raw_px,string,256,,,
pcornet,2.0.0,procedure,raw_px_type,string,256,,,
