model,version,table,field,type,length,precision,scale,default
pcornet,2.0.0,vital,bp_position,string,2,,,
pcornet,2.0.0,vital,diastolic,number,,4,0,
pcornet,2.0.0,vital,encounterid,string,256,,,
pcornet,2.0.0,vital,ht,number,,8,5,
pcornet,2.0.0,vital,measure_date,string,10,,,
pcornet,2.0.0,vital,measure_time,string,5,,,
pcornet,2.0.0,vital,original_bmi,number,,8,5,
pcornet,2.0.0,vital,patid,string,256,,,
pcornet,2.0.0,vital,raw_bp_position,string,256,,,
pcornet,2.0.0,vital,raw_diastolic,string,256,,,
pcornet,2.0.0,vital,raw_systolic,string,256,,,
pcornet,2.0.0,vital,raw_tobacco,string,256,,,
pcornet,2.0.0,vital,raw_tobacco_type,string,256,,,
pcornet,2.0.0,vital,systolic,number,,4,0,
pcornet,2.0.0,vital,tobacco,string,2,,,
pcornet,2.0.0,vital,tobacco_type,string,2,,,
pcornet,2.0.0,vital,vital_source,string,2,,,
pcornet,2.0.0,vital,wt,number,,8,5,
