model,version,table,field,type,length,precision,scale,default
pcornet,3.0.0,diagnosis,admit_date,date,,,,
pcornet,3.0.0,diagnosis,diagnosisid,string,256,,,
pcornet,3.0.0,diagnosis,dx,string,18,,,
pcornet,3.0.0,diagnosis,dx_source,string,2,,,
pcornet,3.0.0,diagnosis,dx_type,string,2,,,
pcornet,3.0.0,diagnosis,enc_type,string,2,,,
pcornet,3.0.0,diagnosis,encounterid,string,256,,,
pcornet,3.0.0,diagnosis,patid,string,256,,,
pcornet,3.0.0,diagnosis,pdx,string,2,,,
pcornet,3.0.0,diagnosis,providerid,string,256,,,
pcornet,3.0.0,diagnosis,raw_dx,string,256,,,
pcornet,3.0.0,diagnosis,raw_dx_source,string,256,,,
pcornet,3.0.0,diagnosis,raw_dx_type,string,256,,,
pcornet,3.0.0,diagnosis,raw_pdx,string,256,,,
