model,version,table,field,type,length,precision,scale,default
pcornet,3.0.0,encounter,admit_date,date,,,,
pcornet,3.0.0,encounter,admit_time,string,5,,,
pcornet,3.0.0,encounter,admitting_source,string,2,,,
pcornet,3.0.0,encounter,discharge_date,date,,,,
pcornet,3.0.0,encounter,discharge_disposition,string,2,,,
pcornet,3.0.0,encounter,discharge_status,string,2,,,
pcornet,3.0.0,encounter,discharge_time,string,5,,,
pcornet,3.0.0,encounter,drg,string,3,,,
pcornet,3.0.0,encounter,drg_type,string,2,,,
pcornet,3.0.0,encounter,enc_type,string,2,,,
pcornet,3.0.0,encounter,encounterid,string,256,,,
pcornet,3.0.0,encounter,facility_location,string,3,,,
pcornet,3.0.0,encounter,facilityid,string,256,,,
pcornet,3.0.0,encounter,patid,string,256,,,
pcornet,3.0.0,encounter,providerid,string,256,,,
pcornet,3.0.0,encounter,raw_admitting_source,string,256,,,
pcornet,3.0.0,encounter,raw_discharge_disposition,string,256,,,
pcornet,3.0.0,encounter,raw_discharge_status,string,256,,,
pcornet,3.0.0,encounter,raw_drg_type,string,256,,,
pcornet,3.0.0,encounter,raw_enc_type,string,256,,,
pcornet,3.0.0,encounter,raw_siteid,string,256,,,
