model,version,table,field,type,length,precision,scale,default
pcornet,3.0.0,harvest,admit_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,birth_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,cdm_version,number,,10,2,
pcornet,3.0.0,harvest,datamart_claims,string,2,,,
pcornet,3.0.0,harvest,datamart_ehr,string,2,,,
pcornet,3.0.0,harvest,datamart_name,string,20,,,
pcornet,3.0.0,harvest,datamart_platform,string,2,,,
pcornet,3.0.0,harvest,datamartid,string,10,,,
pcornet,3.0.0,harvest,discharge_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,dispense_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,enr_end_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,enr_start_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,lab_order_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,measure_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,network_name,string,20,,,
pcornet,3.0.0,harvest,networkid,string,10,,,
pcornet,3.0.0,harvest,onset_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,pro_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,px_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,refresh_condition_date,date,,,,
pcornet,3.0.0,harvest,refresh_death_cause_date,date,,,,
pcornet,3.0.0,harvest,refresh_death_date,date,,,,
pcornet,3.0.0,harvest,refresh_demographic_date,date,,,,
pcornet,3.0.0,harvest,refresh_diagnosis_date,date,,,,
pcornet,3.0.0,harvest,refresh_dispensing_date,date,,,,
pcornet,3.0.0,harvest,refresh_encounter_date,date,,,,
pcornet,3.0.0,harvest,refresh_enrollment_date,date,,,,
pcornet,3.0.0,harvest,refresh_lab_result_cm_date,date,,,,
pcornet,3.0.0,harvest,refresh_pcornet_trial_date,date,,,,
pcornet,3.0.0,harvest,refresh_prescribing_date,date,,,,
pcornet,3.0.0,harvest,refresh_pro_cm_date,date,,,,
pcornet,3.0.0,harvest,refresh_procedures_date,date,,,,
pcornet,3.0.0,harvest,refresh_vital_date,date,,,,
pcornet,3.0.0,harvest,report_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,resolve_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,result_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,rx_end_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,rx_order_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,rx_start_date_mgmt,string,2,,,
pcornet,3.0.0,harvest,specimen_date_mgmt,string,2,,,
