model,version,table,field,type,length,precision,scale,default
pcornet,3.0.0,prescribing,encounterid,string,256,,,
pcornet,3.0.0,prescribing,patid,string,256,,,
pcornet,3.0.0,prescribing,prescribingid,string,256,,,
pcornet,3.0.0,prescribing,raw_rx_frequency,string,256,,,
pcornet,3.0.0,prescribing,raw_rx_med_name,string,256,,,
pcornet,3.0.0,prescribing,raw_rxnorm_cui,string,256,,,
pcornet,3.0.0,prescribing,rx_basis,string,2,,,
pcornet,3.0.0,prescribing,rx_days_supply,number,,10,2,
pcornet,3.0.0,prescribing,rx_end_date,date,,,,
pcornet,3.0.0,prescribing,rx_frequency,string,2,,,
pcornet,3.0.0,prescribing,rx_order_date,date,,,,
pcornet,3.0.0,prescribing,rx_order_time,string,5,,,
pcornet,3.0.0,prescribing,rx_providerid,string,256,,,
pcornet,3.0.0,prescribing,rx_quantity,number,,10,2,
pcornet,3.0.0,prescribing,rx_refills,number,,10,2,
pcornet,3.0.0,prescribing,rx_start_date,date,,,,
pcornet,3.0.0,prescribing,rxnorm_cui,number,,10,2,
