model,version,table,field,type,length,precision,scale,default
pcornet,3.0.0,procedures,admit_date,date,,,,
pcornet,3.0.0,procedures,enc_type,string,2,,,
pcornet,3.0.0,procedures,encounterid,string,256,,,
pcornet,3.0.0,procedures,patid,string,256,,,
pcornet,3.0.0,procedures,proceduresid,string,256,,,
pcornet,3.0.0,procedures,providerid,string,256,,,
pcornet,3.0.0,procedures,px,string,11,,,
pcornet,3.0.0,procedures,px_date,date,,,,
pcornet,3.0.0,procedures,px_source,string,256,,,
pcornet,3.0.0,procedures,px_type,string,2,,,
pcornet,3.0.0,procedures,raw_px,string,256,,,
pcornet,3.0.0,procedures,raw_px_type,string,256,,,
