model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,3.0.0,vital,bp_position,NO,,,,NO,,01;02;03;NI;UN;OT,"01 = Sitting
02 = Standing
03 = Supine
NI = No information
UN = Unknown
OT = Other",Position for orthostatic blood pressure. This value should be null if blood pressure was not measured.
pcornet,3.0.0,vital,diastolic,NO,,,,NO,MMHG,,,"Diastolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, this value should be null."
pcornet,3.0.0,vital,encounterid,NO,ENCOUNTER,ENCOUNTERID,,NO,,,,Arbitrary encounter-level identifier. This is an optional relationship; the ENCOUNTERID should generally be present if the vitals were measured as part of healthcare delivery captured by this datamart.
pcornet,3.0.0,vital,ht,NO,,,,NO,INCH,,,"Height (in inches) measured by standing. Only populated if measure was taken on this date. If missing, this value should be null. Decimal precision is permissible."
pcornet,3.0.0,vital,measure_date,NO,,,YYYY-MM-DD,NO,DATE,,,Date of vitals measure.
pcornet,3.0.0,vital,measure_time,NO,,,HH:MI (24-hour clock and zero padding),NO,TIME,,,Time of vitals measure.
pcornet,3.0.0,vital,original_bmi,NO,,,,NO,,,,"BMI if calculated in the source system.

Important: Please do not calculate BMI during CDM implementation. This field should only reflect originating source system calculations, if height and weight are not stored in the source."
pcornet,3.0.0,vital,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,Arbitrary person-level identifier. Used to link across tables.
pcornet,3.0.0,vital,raw_bp_position,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,3.0.0,vital,raw_diastolic,NO,,,,NO,,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM."
pcornet,3.0.0,vital,raw_systolic,NO,,,,NO,,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM."
pcornet,3.0.0,vital,raw_tobacco,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set. New to v2.0."
pcornet,3.0.0,vital,raw_tobacco_type,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set. New to v2.0."
pcornet,3.0.0,vital,smoking,,,,,,,,") 01=Current every day smoker 02=Current some day smoker 03=Former smoker 04=Never smoker 05=Smoker, current status unknown 06=Unknown if ever smoked 07=Heavy tobacco smoker 08=Light tobacco smoker NI=No information UN=Unknown OT=Other","Indicator for any form of tobacco that is smoked. Per Meaningful Use guidance, “…smoking status includes any form of tobacco that is smoked, but not all tobacco use.” “’Light smoker’ is interpreted to mean less than 10 cigarettes per day, or an equivalent (but less concretely defined) quantity of cigar or pipe smoke. ‘Heavy smoker’ is interpreted to mean greater than 10 cigarettes per day or an equivalent (but less concretely defined) quantity of cigar or pipe smoke.” “…we understand that a “current every day smoker” or “current some day smoker” is an individual who has smoked at least 100 cigarettes during his/her lifetime and still regularly smokes every day or periodically, yet consistently; a “former smoker” would be an individual who has smoked at least 100 cigarettes during his/her lifetime but does not currently smoke; and a “never smoker” would be an individual who has not smoked 100 or more cigarettes during his/her lifetime.” http://www.healthit.gov/sites/default/files/standardscertification/2014-edition-draft-test-procedures/170-314-a-11- smoking-status-2014-test-procedure-draft-1.0.0.0.pdf [retrieved May 11, 2015]"
pcornet,3.0.0,vital,systolic,NO,,,,NO,MMHG,,,"Systolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, this value should be null."
pcornet,3.0.0,vital,tobacco,NO,,,,NO,,01;02;03;04;05;06;07;08;NI;UN;OT,01=Current user 02=Never 03=Quit/former user 04=Passive or environmental exposure 06=Not asked NI=No information UN=Unknown OT=Other,This field is new to v2.0 with revised value set and field definition in v3.0. Indicator for any form of tobacco
pcornet,3.0.0,vital,tobacco_type,NO,,,,NO,,"01;02;03;04;NI;UN;OT
",01=Smoked tobacco only 02=Non-smoked tobacco only 03=Use of both smoked and non-smoked tobacco products 04=None 05=Use of smoked tobacco but no information about nonsmoked tobacco use NI=No information UN=Unknown OT=Other,"This field is new to v2.0, with revised value set in v3.0. Type(s) of tobacco used."
pcornet,3.0.0,vital,vitalid,YES,,,,,,,,"Arbitrary identifier for each unique VITAL record. Does not need to be persistent across refreshes, and may be created by methods such as sequence or GUID."
pcornet,3.0.0,vital,vital_source,NO,,,,NO,,PR;PD;HC;HD;NI;UN;OT,"PR = Patient-reported
PD=Patient device direct feed
HC = Healthcare delivery setting
HD=Healthcare device direct feed
NI = No information
UN = Unknown
OT = Other","Please note: The “Patient-reported” category can include reporting by patient’s family or guardian.

v2.0 amendment: The new categorical value of PD and HD have been added.

v2.0 guidance added with slight modification in v3.0: If unknown whether data are received directly from a device feed, use the more general context (such as patient-reported, healthcare delivery setting, or registry)."
pcornet,3.0.0,vital,wt,NO,,,,NO,POUND,,,"Weight (in pounds). Only populated if measure was taken on this date. If missing, this value should be null. Decimal precision is permissible."
