model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,v1,VITAL,BP_POSITION,NO,,,,NO,,01;02;03;NI;UN;OT,"01 = Sitting
02 = Standing
03 = Supine
NI = No information
UN = Unknown
OT = Other",Position for orthostatic blood pressure. Leave blank if blood pressure was not measured.
pcornet,v1,VITAL,DIASTOLIC,NO,,,,NO,MMHG,,,"Diastolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, leave blank."
pcornet,v1,VITAL,ENCOUNTERID,NO,ENCOUNTER,ENCOUNTERID,,NO,,,,Arbitrary encounter-level identifier. This is an optional relationship; the ENCOUNTERID should be present if the vitals were measured as part of healthcare delivery.
pcornet,v1,VITAL,HT,NO,,,,NO,INCH,,,"Height (in inches) measured by standing. Only populated if measure was taken on this date. If missing, leave blank. Decimal precision is permissible."
pcornet,v1,VITAL,MEASURE_DATE,NO,,,YYYY-MM-DD,NO,DATE,,,Date of vitals measure.
pcornet,v1,VITAL,MEASURE_TIME,NO,,,HH:MI (24-hour clock and zero padding),NO,TIME,,,Time of vitals measure.
pcornet,v1,VITAL,ORIGINAL_BMI,NO,,,,NO,,,,"BMI if calculated in the source system.

Important: Please do not calculate BMI during CDM implementation. This field should only reflect originating source system calculations, if height and weight are not stored in the source."
pcornet,v1,VITAL,PATID,NO,DEMOGRAPHIC,PATID,,NO,,,,Arbitrary person-level identifier. Used to link across tables.
pcornet,v1,VITAL,RAW_BP_POSITION,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v1,VITAL,RAW_DIASTOLIC,NO,,,,NO,,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM."
pcornet,v1,VITAL,RAW_SYSTOLIC,NO,,,,NO,,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM."
pcornet,v1,VITAL,RAW_VITAL_SOURCE,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v1,VITAL,SYSTOLIC,NO,,,,NO,MMHG,,,"Systolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, leave blank."
pcornet,v1,VITAL,VITAL_SOURCE,NO,,,,NO,,PR;HC;NI;UN;OT,"PR = Patient-reported
HC = Healthcare delivery setting
NI = No information
UN = Unknown
OT = Other",Please note: The “Patient-reported” category can include reporting by patient’s family or guardian.
pcornet,v1,VITAL,WT,NO,,,,NO,POUND,,,"Weight (in pounds). Only populated if measure was taken on this date. If missing, leave blank. Decimal precision is permissible."
