model,version,table,field,type,length,precision,scale,default
pcornet,v1,diagnosis,admit_date,string,10,,,
pcornet,v1,diagnosis,dx,string,18,,,
pcornet,v1,diagnosis,dx_source,string,2,,,
pcornet,v1,diagnosis,dx_type,string,2,,,
pcornet,v1,diagnosis,enc_type,string,2,,,
pcornet,v1,diagnosis,encounterid,string,,,,
pcornet,v1,diagnosis,patid,string,,,,
pcornet,v1,diagnosis,pdx,string,2,,,
pcornet,v1,diagnosis,providerid,string,,,,
pcornet,v1,diagnosis,raw_dx,string,,,,
pcornet,v1,diagnosis,raw_dx_source,string,,,,
pcornet,v1,diagnosis,raw_dx_type,string,,,,
pcornet,v1,diagnosis,raw_pdx,string,,,,
