model,version,table,field,type,length,precision,scale,default
pcornet,v1,vital,bp_position,string,2,,,
pcornet,v1,vital,diastolic,number,,5,1,
pcornet,v1,vital,encounterid,string,256,,,
pcornet,v1,vital,ht,number,,8,5,
pcornet,v1,vital,measure_date,string,10,,,
pcornet,v1,vital,measure_time,string,5,,,
pcornet,v1,vital,original_bmi,number,,9,1,
pcornet,v1,vital,patid,string,256,,,
pcornet,v1,vital,raw_bp_position,string,256,,,
pcornet,v1,vital,raw_diastolic,string,256,,,
pcornet,v1,vital,raw_systolic,string,256,,,
pcornet,v1,vital,raw_vital_source,string,256,,,
pcornet,v1,vital,systolic,number,,5,1,
pcornet,v1,vital,vital_source,string,2,,,
pcornet,v1,vital,wt,number,,8,5,
