model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,v2,diagnosis,admit_date,NO,,,YYYY-MM-DD,YES,DATE,,,Please note: This is a field replicated from the ENCOUNTER table. See the ENCOUNTER table for definitions. 
pcornet,v2,diagnosis,dx,YES,,,,NO,,,,"Diagnosis code. 

Leading zeroes and different levels of decimal precision are permissible in this field. Please populate the exact textual value of this diagnosis code, but remove source-specific suffixes and prefixes. Other codes should be listed as recorded in the source data."
pcornet,v2,diagnosis,dx_source,YES,,,,NO,,AD;DI;FI;IN;NI;UN;OT,"AD = Admitting
DI = Discharge
FI = Final
IN = Interim
NI = No information
UN = Unknown
OT = Other","Classification of diagnosis source. We include these categories to allow some flexibility in implementation. The context is to capture available diagnoses recorded during a specific encounter. It is not necessary to populate interim diagnoses unless readily available.

Ambulatory encounters would generally be expected to have a source of “Final.”"
pcornet,v2,diagnosis,dx_type,YES,,,,NO,,09;10;11;SM;NI;UN;OT,"09 = ICD-9-CM
10 = ICD-10-CM
11 = ICD-11-CM
SM = SNOMED CT
NI = No information
UN = Unknown
OT = Other","Diagnosis code type. 

We provide values for ICD and SNOMED code types. Other code types will be added as new terminologies are more widely used.

Please note: The “Other” category is meant to identify internal use ontologies and codes."
pcornet,v2,diagnosis,enc_type,NO,,,,YES,,AV;ED;EI;IP;IS;OA;NI;UN;OT,"AV = Ambulatory Visit
ED = Emergency Department
EI=Emergency Department Admit to Inpatient Hospital Stay (permissible substitution)
IP = Inpatient Hospital Stay
IS = Non-Acute Institutional Stay
OA = Other Ambulatory Visit
NI = No information
UN = Unknown
OT = Other",Please note: This is a field replicated from the ENCOUNTER table. See the ENCOUNTER table for definitions. 
pcornet,v2,diagnosis,encounterid,YES,ENCOUNTER,ENCOUNTERID,,NO,,,,Arbitrary encounter-level identifier. Used to link across tables.
pcornet,v2,diagnosis,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,Arbitrary person-level identifier. Used to link across tables.
pcornet,v2,diagnosis,pdx,NO,,,,NO,,P;S;X;NI;UN;OT,"P = Principal
S = Secondary
X = Unable to Classify
NI = No information
UN = Unknown
OT = Other","Principal discharge diagnosis flag. Relevant only on IP and IS encounters. 

For ED, AV, and OA encounter types, mark as X = Unable to Classify. (Billing systems do not require a primary diagnosis for ambulatory visits (eg, professional services))

One principal diagnosis is expected, although in some instances more than one diagnosis may be flagged as principal."
pcornet,v2,diagnosis,providerid,NO,,,,YES,,,,Please note: This is a field replicated from the ENCOUNTER table. See the ENCOUNTER table for definitions. 
pcornet,v2,diagnosis,raw_dx,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v2,diagnosis,raw_dx_source,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v2,diagnosis,raw_dx_type,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v2,diagnosis,raw_pdx,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
