model,version,table,field,type,length,precision,scale,default
pcornet,v2,ENCOUNTER,ADMIT_DATE,string,10,,,
pcornet,v2,ENCOUNTER,ADMIT_TIME,string,5,,,
pcornet,v2,ENCOUNTER,ADMITTING_SOURCE,string,2,,,
pcornet,v2,ENCOUNTER,DISCHARGE_DATE,string,10,,,
pcornet,v2,ENCOUNTER,DISCHARGE_DISPOSITION,string,2,,,
pcornet,v2,ENCOUNTER,DISCHARGE_STATUS,string,2,,,
pcornet,v2,ENCOUNTER,DISCHARGE_TIME,string,5,,,
pcornet,v2,ENCOUNTER,DRG,string,3,,,
pcornet,v2,ENCOUNTER,DRG_TYPE,string,2,,,
pcornet,v2,ENCOUNTER,ENC_TYPE,string,2,,,
pcornet,v2,ENCOUNTER,ENCOUNTERID,string,,,,
pcornet,v2,ENCOUNTER,FACILITY_LOCATION,string,3,,,
pcornet,v2,ENCOUNTER,FACILITYID,string,,,,
pcornet,v2,ENCOUNTER,PATID,string,,,,
pcornet,v2,ENCOUNTER,PROVIDERID,string,,,,
pcornet,v2,ENCOUNTER,RAW_ADMITTING_SOURCE,string,,,,
pcornet,v2,ENCOUNTER,RAW_DISCHARGE_DISPOSITION,string,,,,
pcornet,v2,ENCOUNTER,RAW_DISCHARGE_STATUS,string,,,,
pcornet,v2,ENCOUNTER,RAW_DRG_TYPE,string,,,,
pcornet,v2,ENCOUNTER,RAW_ENC_TYPE,string,,,,
pcornet,v2,ENCOUNTER,RAW_SITEID,string,,,,
