TABLE_NAME,FIELD_NAME,REQUIRED,REF_TABLE,REF_FIELD,DATA_TYPE,DATA_FORMAT,REPLICATED,UNIT_OF_MEASURE,VALUE_SET,VALUE_DESCRIPTION,DEFINITION
VITAL,BP_POSITION,NO,,,TEXT(2),,NO,,01;02;03;NI;UN;OT,"01 = Sitting
02 = Standing
03 = Supine
NI = No information
UN = Unknown
OT = Other",Position for orthostatic blood pressure. Leave blank if blood pressure was not measured.
VITAL,DIASTOLIC,NO,,,NUMBER(4),,NO,MMHG,,,"Diastolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, leave blank."
VITAL,ENCOUNTERID,NO,ENCOUNTER,ENCOUNTERID,TEXT(x),,NO,,,,Arbitrary encounter-level identifier. This is an optional relationship; the ENCOUNTERID should be present if the vitals were measured as part of healthcare delivery.
VITAL,HT,NO,,,NUMBER(8),,NO,INCH,,,"Height (in inches) measured by standing. Only populated if measure was taken on this date. If missing, leave blank. Decimal precision is permissible."
VITAL,MEASURE_DATE,NO,,,TEXT(10),YYYY-MM-DD,NO,DATE,,,Date of vitals measure.
VITAL,MEASURE_TIME,NO,,,TEXT(5),HH:MI (24-hour clock and zero padding),NO,TIME,,,Time of vitals measure.
VITAL,ORIGINAL_BMI,NO,,,NUMBER(8),,NO,,,,"BMI if calculated in the source system.

Important: Please do not calculate BMI during CDM implementation. This field should only reflect originating source system calculations, if height and weight are not stored in the source."
VITAL,PATID,YES,PATIENT,PATID,TEXT(x),,NO,,,,Arbitrary person-level identifier. Used to link across tables.
VITAL,RAW_BP_POSITION,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
VITAL,RAW_DIASTOLIC,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM."
VITAL,RAW_SYSTOLIC,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to formatting into the PCORnet CDM."
VITAL,RAW_TOBACCO,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set. New to v2.0."
VITAL,RAW_TOBACCO_TYPE,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set. New to v2.0."
VITAL,SYSTOLIC,NO,,,NUMBER(4),,NO,MMHG,,,"Systolic blood pressure (in mmHg). Only populated if measure was taken on this date. If missing, leave blank."
VITAL,TOBACCO,NO,,,TEXT(2),,NO,,01;02;03;04;05;06;07;08;NI;UN;OT,"01=Current every day smoker
02=Current some day smoker
03=Former smoker
04=Never smoker
05=Smoker, current status unknown
06=Unknown if ever smoked
07=Heavy tobacco smoker
08=Light tobacco smoker
NI=No information
UN=Unknown
OT=Other","This field is new to v2.0.

Guidance: The values of “Heavy tobacco smoker” and “Light tobacco smoker” will be assumed to imply a smoking status of current."
VITAL,TOBACCO_TYPE,NO,,,TEXT(2),,NO,,"01;02;03;04;NI;UN;OT
","01=Cigarettes only
02=Other tobacco only
03=Cigarettes and other tobacco
04=None
NI=No information
UN=Unknown
OT=Other","This field is new to v2.0.

Type(s) of tobacco used."
VITAL,VITAL_SOURCE,NO,,,TEXT(2),,NO,,PR;PD;HC;HD;NI;UN;OT,"PR = Patient-reported
PD=Patient device direct feed
HC = Healthcare delivery setting
HD=Healthcare device direct feed
NI = No information
UN = Unknown
OT = Other","Please note: The “Patient-reported” category can include reporting by patient’s family or guardian.

v2.0 amendment: The new categorical value of PD and HD have been added.

v2.0 guidance added: If unknown whether data are received directly from a device feed, use the more general context (such as patient-reported, healthcare delivery setting, or registry)."
VITAL,WT,NO,,,NUMBER(8),,NO,POUND,,,"Weight (in pounds). Only populated if measure was taken on this date. If missing, leave blank. Decimal precision is permissible."
