model,version,table,field,type,length,precision,scale,default
pcornet,v2,vital,bp_position,string,2,,,
pcornet,v2,vital,diastolic,number,,5,1,
pcornet,v2,vital,encounterid,string,256,,,
pcornet,v2,vital,ht,number,,8,5,
pcornet,v2,vital,measure_date,string,10,,,
pcornet,v2,vital,measure_time,string,5,,,
pcornet,v2,vital,original_bmi,number,,8,5,
pcornet,v2,vital,patid,string,256,,,
pcornet,v2,vital,raw_bp_position,string,256,,,
pcornet,v2,vital,raw_diastolic,string,256,,,
pcornet,v2,vital,raw_systolic,string,256,,,
pcornet,v2,vital,raw_tobacco,string,256,,,
pcornet,v2,vital,raw_tobacco_type,string,256,,,
pcornet,v2,vital,systolic,number,,5,1,
pcornet,v2,vital,tobacco,string,2,,,
pcornet,v2,vital,tobacco_type,string,2,,,
pcornet,v2,vital,vital_source,string,2,,,
pcornet,v2,vital,wt,number,,8,5,
