model,version,table,field,type,length,precision,scale,default
pcornet,v3.1,demographic,biobank_flag,string,1,,,
pcornet,v3.1,demographic,birth_date,date,,,,
pcornet,v3.1,demographic,birth_time,string,5,,,
pcornet,v3.1,demographic,hispanic,string,2,,,
pcornet,v3.1,demographic,patid,string,,,,
pcornet,v3.1,demographic,race,string,2,,,
pcornet,v3.1,demographic,raw_hispanic,string,,,,
pcornet,v3.1,demographic,raw_race,string,,,,
pcornet,v3.1,demographic,raw_sex,string,,,,
pcornet,v3.1,demographic,sex,string,2,,,
pcornet,v3.1,demographic,raw_sexual_orientation,string,2,,,
pcornet,v3.1,demographic,raw_gender_identity,string,,,,
pcornet,v3.1,demographic,sexual_orientation,string,,,,
pcornet,v3.1,demographic,gender_identity,string,2,,,
