model,version,type,table,field,name
pcornet,v3,primary key,demographic,patid,xpk_demographic
pcornet,v3,primary key,enrollment,patid,xpk_enrollment
pcornet,v3,primary key,enrollment,enr_start_date,xpk_enrollment
pcornet,v3,primary key,enrollment,enr_basis,xpk_enrollment
pcornet,v3,primary key,encounter,encounterid,xpk_encounter
pcornet,v3,primary key,diagnosis,diagnosisid,xpk_diagnosis
pcornet,v3,primary key,procedures,proceduresid,xpk_procedures
pcornet,v3,primary key,vital,vitalid,xpk_vital
pcornet,v3,primary key,dispensing,dispensingid,xpk_dispensing
pcornet,v3,primary key,lab_result_cm,lab_result_cm_id,xpk_lab_result_cm
pcornet,v3,primary key,condition,conditionid,xpk_condition
pcornet,v3,primary key,pro_cm,pro_cm_id,xpk_pro_cm
pcornet,v3,primary key,prescribing,prescribingid,xpk_prescribing
pcornet,v3,primary key,pcornet_trial,patid,xpk_pcornet_trial
pcornet,v3,primary key,pcornet_trial,trialid,xpk_pcornet_trial
pcornet,v3,primary key,pcornet_trial,participantid,xpk_pcornet_trial
pcornet,v3,primary key,death,patid,xpk_death
pcornet,v3,primary key,death,death_date,xpk_death
pcornet,v3,primary key,death,death_source,xpk_death
pcornet,v3,primary key,death_cause,patid,xpk_death_cause
pcornet,v3,primary key,death_cause,death_cause,xpk_death_cause
pcornet,v3,primary key,death_cause,death_cause_code,xpk_death_cause
pcornet,v3,primary key,death_cause,death_cause_type,xpk_death_cause
pcornet,v3,primary key,death_cause,death_cause_source,xpk_death_cause
pcornet,v3,primary key,harvest,networkid,xpk_harvest
pcornet,v3,primary key,harvest,datamartid,xpk_harvest
