model,version,table,field,type,length,precision,scale,default
pcornet,v3,diagnosis,admit_date,date,,,,
pcornet,v3,diagnosis,diagnosisid,string,256,,,
pcornet,v3,diagnosis,dx,string,18,,,
pcornet,v3,diagnosis,dx_source,string,2,,,
pcornet,v3,diagnosis,dx_type,string,2,,,
pcornet,v3,diagnosis,enc_type,string,2,,,
pcornet,v3,diagnosis,encounterid,string,256,,,
pcornet,v3,diagnosis,patid,string,256,,,
pcornet,v3,diagnosis,pdx,string,2,,,
pcornet,v3,diagnosis,providerid,string,256,,,
pcornet,v3,diagnosis,raw_dx,string,256,,,
pcornet,v3,diagnosis,raw_dx_source,string,256,,,
pcornet,v3,diagnosis,raw_dx_type,string,256,,,
pcornet,v3,diagnosis,raw_pdx,string,256,,,
