model,version,table,field,type,length,precision,scale,default
pcornet,v3,CONDITION,CONDITION,string,18,,,
pcornet,v3,CONDITION,CONDITIONID,string,,,,
pcornet,v3,CONDITION,CONDITION_SOURCE,string,2,,,
pcornet,v3,CONDITION,CONDITION_STATUS,string,2,,,
pcornet,v3,CONDITION,CONDITION_TYPE,string,2,,,
pcornet,v3,CONDITION,ENCOUNTERID,string,,,,
pcornet,v3,CONDITION,ONSET_DATE,date,,,,
pcornet,v3,CONDITION,PATID,string,,,,
pcornet,v3,CONDITION,RAW_CONDITION,string,,,,
pcornet,v3,CONDITION,RAW_CONDITION_SOURCE,string,,,,
pcornet,v3,CONDITION,RAW_CONDITION_STATUS,string,,,,
pcornet,v3,CONDITION,RAW_CONDITION_TYPE,string,,,,
pcornet,v3,CONDITION,REPORT_DATE,date,,,,
pcornet,v3,CONDITION,RESOLVE_DATE,date,,,,
