model,version,table,field,type,length,precision,scale,default
pcornet,v3,ENCOUNTER,ADMIT_DATE,date,,,,
pcornet,v3,ENCOUNTER,ADMIT_TIME,string,5,,,
pcornet,v3,ENCOUNTER,ADMITTING_SOURCE,string,2,,,
pcornet,v3,ENCOUNTER,DISCHARGE_DATE,date,,,,
pcornet,v3,ENCOUNTER,DISCHARGE_DISPOSITION,string,2,,,
pcornet,v3,ENCOUNTER,DISCHARGE_STATUS,string,2,,,
pcornet,v3,ENCOUNTER,DISCHARGE_TIME,string,5,,,
pcornet,v3,ENCOUNTER,DRG,string,3,,,
pcornet,v3,ENCOUNTER,DRG_TYPE,string,2,,,
pcornet,v3,ENCOUNTER,ENC_TYPE,string,2,,,
pcornet,v3,ENCOUNTER,ENCOUNTERID,string,,,,
pcornet,v3,ENCOUNTER,FACILITY_LOCATION,string,3,,,
pcornet,v3,ENCOUNTER,FACILITYID,string,,,,
pcornet,v3,ENCOUNTER,PATID,string,,,,
pcornet,v3,ENCOUNTER,PROVIDERID,string,,,,
pcornet,v3,ENCOUNTER,RAW_ADMITTING_SOURCE,string,,,,
pcornet,v3,ENCOUNTER,RAW_DISCHARGE_DISPOSITION,string,,,,
pcornet,v3,ENCOUNTER,RAW_DISCHARGE_STATUS,string,,,,
pcornet,v3,ENCOUNTER,RAW_DRG_TYPE,string,,,,
pcornet,v3,ENCOUNTER,RAW_ENC_TYPE,string,,,,
pcornet,v3,ENCOUNTER,RAW_SITEID,string,,,,
