model,version,table,field,type,length,precision,scale,default
pcornet,v3,LAB_RESULT_CM,ABN_IND,string,2,,,
pcornet,v3,LAB_RESULT_CM,ENCOUNTERID,string,,,,
pcornet,v3,LAB_RESULT_CM,LAB_LOINC,string,10,,,
pcornet,v3,LAB_RESULT_CM,LAB_NAME,string,10,,,
pcornet,v3,LAB_RESULT_CM,LAB_ORDER_DATE,date,,,,
pcornet,v3,LAB_RESULT_CM,LAB_PX,string,11,,,
pcornet,v3,LAB_RESULT_CM,LAB_PX_TYPE,string,2,,,
pcornet,v3,LAB_RESULT_CM,LAB_RESULT_CM_ID,string,,,,
pcornet,v3,LAB_RESULT_CM,NORM_MODIFIER_HIGH,string,2,,,
pcornet,v3,LAB_RESULT_CM,NORM_MODIFIER_LOW,string,2,,,
pcornet,v3,LAB_RESULT_CM,NORM_RANGE_HIGH,string,10,,,
pcornet,v3,LAB_RESULT_CM,NORM_RANGE_LOW,string,10,,,
pcornet,v3,LAB_RESULT_CM,PATID,string,,,,
pcornet,v3,LAB_RESULT_CM,PRIORITY,string,2,,,
pcornet,v3,LAB_RESULT_CM,RAW_FACILITY_CODE,string,,,,
pcornet,v3,LAB_RESULT_CM,RAW_LAB_CODE,string,,,,
pcornet,v3,LAB_RESULT_CM,RAW_LAB_NAME,string,,,,
pcornet,v3,LAB_RESULT_CM,RAW_ORDER_DEPT,string,,,,
pcornet,v3,LAB_RESULT_CM,RAW_PANEL,string,,,,
pcornet,v3,LAB_RESULT_CM,RAW_RESULT,string,,,,
pcornet,v3,LAB_RESULT_CM,RAW_UNIT,string,,,,
pcornet,v3,LAB_RESULT_CM,RESULT_DATE,date,,,,
pcornet,v3,LAB_RESULT_CM,RESULT_LOC,string,2,,,
pcornet,v3,LAB_RESULT_CM,RESULT_MODIFIER,string,2,,,
pcornet,v3,LAB_RESULT_CM,RESULT_NUM,integer,8,,,
pcornet,v3,LAB_RESULT_CM,RESULT_QUAL,string,12,,,
pcornet,v3,LAB_RESULT_CM,RESULT_TIME,string,5,,,
pcornet,v3,LAB_RESULT_CM,RESULT_UNIT,string,11,,,
pcornet,v3,LAB_RESULT_CM,SPECIMEN_DATE,date,,,,
pcornet,v3,LAB_RESULT_CM,SPECIMEN_SOURCE,string,10,,,
pcornet,v3,LAB_RESULT_CM,SPECIMEN_TIME,string,5,,,
