model,version,table,field,type,length,precision,scale,default
pcornet,v3,prescribing,prescribingid,string,,,,
pcornet,v3,prescribing,patid,string,,,,
pcornet,v3,prescribing,encounterid,string,,,,
pcornet,v3,prescribing,rx_providerid,string,,,,
pcornet,v3,prescribing,rx_order_date,date,,,,
pcornet,v3,prescribing,rx_order_time,string,5,,,
pcornet,v3,prescribing,rx_start_date,date,,,,
pcornet,v3,prescribing,rx_end_date,date,,,,
pcornet,v3,prescribing,rx_quantity,integer,8,,,
pcornet,v3,prescribing,rx_refills,integer,8,,,
pcornet,v3,prescribing,rx_days_supply,integer,8,,,
pcornet,v3,prescribing,rx_frequency,string,2,,,
pcornet,v3,prescribing,rx_basis,string,2,,,
pcornet,v3,prescribing,rxnorm_cui,integer,8,,,
pcornet,v3,prescribing,raw_rx_med_name,string,,,,
pcornet,v3,prescribing,raw_rx_frequency,string,,,,
pcornet,v3,prescribing,raw_rxnorm_cui,string,,,,
