model,version,table,field,type,length,precision,scale,default
pcornet,v3,PROCEDURES,ADMIT_DATE,date,,,,
pcornet,v3,PROCEDURES,ENC_TYPE,string,2,,,
pcornet,v3,PROCEDURES,ENCOUNTERID,string,,,,
pcornet,v3,PROCEDURES,PATID,string,,,,
pcornet,v3,PROCEDURES,PROCEDURESID,string,,,,
pcornet,v3,PROCEDURES,PROVIDERID,string,,,,
pcornet,v3,PROCEDURES,PX,string,11,,,
pcornet,v3,PROCEDURES,PX_DATE,date,,,,
pcornet,v3,PROCEDURES,PX_SOURCE,string,,,,
pcornet,v3,PROCEDURES,PX_TYPE,string,2,,,
pcornet,v3,PROCEDURES,RAW_PX,string,,,,
pcornet,v3,PROCEDURES,RAW_PX_TYPE,string,,,,
