model,version,table,field,type,length,precision,scale,default
pcornet,v3,VITAL,BP_POSITION,string,2,,,
pcornet,v3,VITAL,DIASTOLIC,integer,4,,,
pcornet,v3,VITAL,ENCOUNTERID,string,,,,
pcornet,v3,VITAL,HT,integer,8,,,
pcornet,v3,VITAL,MEASURE_DATE,date,,,,
pcornet,v3,VITAL,MEASURE_TIME,string,5,,,
pcornet,v3,VITAL,ORIGINAL_BMI,integer,8,,,
pcornet,v3,VITAL,PATID,string,,,,
pcornet,v3,VITAL,RAW_BP_POSITION,string,,,,
pcornet,v3,VITAL,RAW_DIASTOLIC,string,,,,
pcornet,v3,VITAL,RAW_SYSTOLIC,string,,,,
pcornet,v3,VITAL,RAW_TOBACCO,string,,,,
pcornet,v3,VITAL,RAW_TOBACCO_TYPE,string,,,,
pcornet,v3,VITAL,SMOKING,string,2,,,
pcornet,v3,VITAL,SYSTOLIC,integer,4,,,
pcornet,v3,VITAL,TOBACCO,string,2,,,
pcornet,v3,VITAL,TOBACCO_TYPE,string,2,,,
pcornet,v3,VITAL,VITALID,string,,,,
pcornet,v3,VITAL,VITAL_SOURCE,string,2,,,
pcornet,v3,VITAL,WT,integer,8,,,
