model,version,table,field,type,length,precision,scale,default
pcornet,v4.1,prescribing,prescribingid,string,,,,
pcornet,v4.1,prescribing,patid,string,,,,
pcornet,v4.1,prescribing,encounterid,string,,,,
pcornet,v4.1,prescribing,rx_providerid,string,,,,
pcornet,v4.1,prescribing,rx_order_date,date,,,,
pcornet,v4.1,prescribing,rx_order_time,string,5,,,
pcornet,v4.1,prescribing,rx_start_date,date,,,,
pcornet,v4.1,prescribing,rx_end_date,date,,,,
pcornet,v4.1,prescribing,rx_quantity,number,,15,8,
pcornet,v4.1,prescribing,rx_refills,number,,15,8,
pcornet,v4.1,prescribing,rx_days_supply,number,,15,8,
pcornet,v4.1,prescribing,rx_quantity_unit,string,2,,,
pcornet,v4.1,prescribing,rx_frequency,string,2,,,
pcornet,v4.1,prescribing,rx_basis,string,2,,,
pcornet,v4.1,prescribing,rxnorm_cui,number,,10,2,
pcornet,v4.1,prescribing,raw_rx_med_name,string,,,,
pcornet,v4.1,prescribing,raw_rx_frequency,string,,,,
pcornet,v4.1,prescribing,raw_rxnorm_cui,string,8,,,
pcornet,v4.1,prescribing,raw_rx_quantity,string,,,,
pcornet,v4.1,prescribing,raw_rx_ndc,string,,,,
pcornet,v4.1,prescribing,rx_dose_ordered,number,,15,8,
pcornet,v4.1,prescribing,rx_dose_ordered_unit,string,,,,
pcornet,v4.1,prescribing,rx_dose_form,string,,,,
pcornet,v4.1,prescribing,rx_prn_flag,string,1,,,
pcornet,v4.1,prescribing,rx_route,string,,,,
pcornet,v4.1,prescribing,rx_source,string,2,,,
pcornet,v4.1,prescribing,rx_dispense_as_written,string,2,,,
pcornet,v4.1,prescribing,raw_rx_dose_ordered,string,,,,
pcornet,v4.1,prescribing,raw_rx_dose_ordered_unit,string,,,,
pcornet,v4.1,prescribing,raw_rx_route,string,,,,
pcornet,v4.1,prescribing,raw_rx_refills,string,,,,
