model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,v4,encounter,admit_date,NO,,,YYYY-MM-DD,NO,DATE,,,Encounter or admission date.
pcornet,v4,encounter,admit_time,NO,,,HH:MI (24-hour clock and zero padding),NO,TIME,,,Encounter or admission time.
pcornet,v4,encounter,admitting_source,NO,,,,NO,,AF;AL;AV;ED;HH;HO;HS;IP;NH;RH;RS;SN;NI;UN;OT,"AF = Adult Foster Home AL = Assisted Living Facility  AV = Ambulatory Visit  ED = Emergency Department  HH = Home Health  HO = Home / Self Care  HS = Hospice  IP = Other Acute Inpatient Hospital  NH = Nursing Home (Includes ICF)  RH = Rehabilitation Facility  RS = Residential Facility  SN = Skilled Nursing Facility  NI = No information  UN = Unknown OT = Other",Admitting source. Should be populated for Inpatient Hospital Stay (IP) and Non-Acute Institutional Stay (IS) encounter types. May be populated for Emergency Department (ED) and ED-to-Inpatient (EI) encounter types. Should be missing for ambulatory visit (AV or OA) encounter types.
pcornet,v4,encounter,discharge_date,NO,,,YYYY-MM-DD,NO,DATE,,,Discharge date. Should be populated for all Inpatient Hospital Stay (IP) and Non-Acute Institutional Stay (IS) encounter types. May be populated for Emergency Department (ED) and ED-to-Inpatient (EI) encounter types. Should be missing for ambulatory visit (AV or OA) encounter types.
pcornet,v4,encounter,discharge_disposition,NO,,,,NO,,A;E;NI;UN;OT,"A = Discharged alive E = Expired NI = No information UN = Unknown OT = Other",Vital status at discharge. Should be populated for Inpatient Hospital Stay (IP) and Non-Acute Institutional Stay (IS) encounter types. May be populated for Emergency Department (ED) and ED-to-Inpatient (EI) encounter types. Should be missing for ambulatory visit (AV or OA) encounter types.
pcornet,v4,encounter,discharge_status,NO,,,,NO,,AF;AL;AM;AW;EX;HH;HO;HS;IP;NH;RH;RS;SH;SN;NI;UN;OT,"AF = Adult Foster Home AL = Assisted Living Facility  AM = Against Medical Advice  AW = Absent without leave  EX = Expired  HH = Home Health  HO = Home / Self Care  HS = Hospice  IP = Other Acute Inpatient Hospital  NH = Nursing Home (Includes ICF)  RH = Rehabilitation Facility  RS = Residential Facility  SH = Still In Hospital  SN = Skilled Nursing Facility  NI = No information  UN = Unknown OT = Other",Discharge status. Should be populated for Inpatient Hospital Stay (IP) and Non-Acute Institutional Stay (IS) encounter types. May be populated for Emergency Department (ED) and ED-to-Inpatient (EI) encounter types. Should be missing for ambulatory visit (AV or OA) encounter types.
pcornet,v4,encounter,discharge_time,NO,,,HH:MI (24-hour clock and zero padding),NO,TIME,,,Discharge time.
pcornet,v4,encounter,drg,NO,,,,NO,,,,3-digit Diagnosis Related Group (DRG). Should be populated for IP and IS encounter types. May be populated for Emergency Department (ED) and ED-to-Inpatient (EI) encounter types. Should be missing for AV or OA encounters. Use leading zeroes for codes less than 100. The DRG is used for reimbursement for inpatient encounters. It is a Medicare requirement that combines diagnoses into clinical concepts for billing. Frequently used in observational data analyses.
pcornet,v4,encounter,drg_type,NO,,,,NO,,01;02;NI;UN;OT,"01 = CMS-DRG (old system) 02 = MS-DRG (current system) NI = No information UN = Unknown OT = Other",DRG code version. MS-DRG (current system) began on 10/1/2007. Should be populated for IP and IS encounter types. May be populated for Emergency Department (ED) and ED-toInpatient (EI) encounter types. Should be missing for AV or OA encounters.
pcornet,v4,encounter,enc_type,NO,,,,NO,,AV;ED;EI;IP;IS;OA;NI;UN;OT,"AV = Ambulatory Visit ED = Emergency Department  EI = Emergency Department Admit to Inpatient Hospital Stay (permissible substitution)  IP = Inpatient Hospital Stay  IS = Non-Acute Institutional Stay  OS = Observation Stay  IC = Institutional Professional Consult (permissible substitution)  OA = Other Ambulatory Visit  NI = No information  UN = Unknown  OT = Other","Encounter type.    Details of categorical definitions:  Ambulatory Visit: Includes visits at outpatient clinics, physician offices, same day/ambulatory surgery centers, urgent care facilities, and other same-day ambulatory hospital encounters, but excludes emergency department encounters.    Emergency Department (ED): Includes ED encounters that become inpatient stays (in which case inpatient stays would be a separate encounter). Excludes urgent care visits. ED claims should be pulled before hospitalization claims to ensure that ED with subsequent admission won't be rolled up in the hospital event.   Does not include observation stays, where known (guidance added in v4).    Emergency Department Admit to Inpatient Hospital Stay: Permissible substitution for preferred state of separate ED and IP records. Only for use with data sources where the individual records for ED and IP cannot be distinguished (new to v2.0).    Inpatient Hospital Stay: Includes all inpatient stays, including: same-day hospital discharges, hospital transfers, and acute hospital care where the discharge is after the admission date.  Does not include observation stays, where known (guidance added in v4).    Observation Stay: “Hospital outpatient services given to help the can be discharged. Observations services may be given in the emergency department or another area of the hospital.” Definition from Medicare, CMS Product No. 11435, https://www.medicare.gov/Pubs/pdf/11435.pdf (new value set item added in v4).    Institutional Professional Consult: Permissible substitution when services provided by a medical professional cannot be combined with the given encounter record, such as a specialist consult in an inpatient setting; this situation can be common with claims data sources (new value set item added in v4).    Non-Acute Institutional Stay: Includes hospice, skilled nursing facility (SNF), rehab center, nursing home, residential, overnight non-hospital dialysis and other non-hospital stays.    Other Ambulatory Visit: Includes other non-overnight AV encounters such as hospice visits, home health visits, skilled nursing facility visits, other non-hospital visits, as well as telemedicine, telephone and email consultations. May also include ""lab only"" visits (when a lab is ordered outside of a patient visit), ""pharmacy only"" (e.g., when a patient has a refill ordered without a face-to-face visit), ""imaging only"", etc."
