model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,v4,lab_result_cm,abn_ind,NO,,,,NO,,AB;AH;AL;CH;CL;CR;IN;NL;NI;UN;OT,"AB=Abnormal AH=Abnormally high  AL=Abnormally low  CH=Critically high  CL=Critically low  CR=Critical  IN=Inconclusive  NL=Normal  NI=No information  UN=Unknown OT=Other","Abnormal result indicator. This value comes from the source data; do not apply logic to create it."
pcornet,v4,lab_result_cm,encounterid,NO,ENCOUNTER,ENCOUNTERID,,NO,,,,"Arbitrary encounter-level identifier used to link across tables. This is an optional field, and should only be populated if the lab was collected as part of a healthcare encounter."
pcornet,v4,lab_result_cm,lab_loinc,NO,,,,NO,,,,"Logical Observation Identifiers, Names, and Codes (LOINC) from the Regenstrief Institute. Results with local versions of LOINC codes (e.g., LOINC candidate codes) should be included in the RAW_table field, but the LOINC variable should be set to missing. Current LOINC codes are from 3-7 characters long but Regenstrief suggests a length of 10 for future growth. The last digit of the LOINC code is a check digit and is always preceded by a hyphen. All parts of the LOINC code, including the hyphen, must be included. Do not pad the LOINC code with leading zeros. Please see the LOINC reference table for known LOINC codes for each LAB_NAME. "
pcornet,v4,lab_result_cm,lab_name,NO,,,,NO,,A1C;CK;CK_MB;CK_MBI;CREATININE;HGB;LDL;INR;TROP_I;TROP_T_QL;TROP_T_QN,"A1C=Hemoglobin A1c CK=Creatine kinase total  CK_MB=Creatine kinase MB  CK_MBI=Creatine kinase MB/creatine kinase total  CREATININE=Creatinine  HGB=Hemoglobin  LDL=Low-density lipoprotein  INR=International normalized ratio  TROP_I=Troponin I cardiac  TROP_T_QL=Troponin T cardiac (qualitative)  TROP_T_QN=Troponin T cardiac (quantitative)  NI = No information  UN = Unknown OT = Other","Laboratory result common measure, a categorical identification for the type of test, which is harmonized across all contributing data partners. Please note that it is possible for more than one LOINC code, CPT code, and/or local code to be associated with one LAB_NAME. Value set modified in v4 to add null value options"
pcornet,v4,lab_result_cm,lab_order_date,NO,,,YYYY-MM-DD,NO,DATE,,,"Date test was ordered."
pcornet,v4,lab_result_cm,lab_px,NO,,,,NO,,,,"Optional variable for local and standard procedure codes, used to identify the originating order for the lab test."
pcornet,v4,lab_result_cm,lab_px_type,NO,,,,NO,,09;10;11;CH;LC;ND;RE;NI;UN;OT,"09=ICD-9-PCS 10=ICD-10-PCS  11=ICD-11-PCS  CH = CPT or HCPCS  LC=LOINC  ND=NDC  RE=Revenue  NI=No information UN=Unknown OT=Other","Procedure code type, if applicable. Value set modified in v4 to combine CPT and HCPCS codes into one category; also, ICD-9 value set item typo corrected to specify ICD-9-PCS"
pcornet,v4,lab_result_cm,lab_result_cm_id,YES,,,,,,,,"Arbitrary identifier for each unique LAB_RESULT_CM record. Does not need to be persistent across refreshes, and may be created by methods such as sequence or GUID."
pcornet,v4,lab_result_cm,norm_modifier_high,NO,,,,NO,,EQ;LE;LT;NO;NI;UN;OT,"EQ=Equal LE=Less than or equal to  LT=Less than  NO=No higher limit  NI=No information  UN=Unknown OT=Other","Modifier for NORM_RANGE_HIGH values. For numeric results one of the following needs to be true:  1) Both MODIFIER_LOW and MODIFIER_HIGH contain EQ (e.g. normal values fall in the range 40)  2) MODIFIER_LOW contains GT or GE and MODIFIER_HIGH contains NO (e.g. normal values are >3 with no upper boundary)  3) MODIFIER_HIGH contains LT or LE and MODIFIER_LOW contains NO (e.g. normal values are <=10 with no lower boundary)"
pcornet,v4,lab_result_cm,norm_modifier_low,NO,,,,NO,,EQ;GE;GT;NO;NI;UN;OT,"EQ=Equal GE=Greater than or equal to  GT=Greater than  NO=No lower limit  NI=No information  UN=Unknown OT=Other","Modifier for NORM_RANGE_LOW values. For numeric results one of the following needs to be true:  1) Both MODIFIER_LOW and MODIFIER_HIGH contain EQ (e.g. normal values fall in the range 40)  2) MODIFIER_LOW contains GT or GE and MODIFIER_HIGH contains NO (e.g. normal values are >3 with no upper boundary)  3) MODIFIER_HIGH contains LT or LE and MODIFIER_LOW contains NO (e.g. normal values are <=10 with no lower boundary)"  
pcornet,v4,lab_result_cm,norm_range_high,NO,,,,NO,,,,"Upper bound of the normal range assigned by the laboratory. Value should only contain the value of the upper bound. The symbols >, <, >=, <= should be removed. For example, if the normal range for a test is >100 and <300, then 300 should be entered."
pcornet,v4,lab_result_cm,norm_range_low,NO,,,,NO,,,,"Lower bound of the normal range assigned by the laboratory. Value should only contain the value of the lower bound. The symbols >, <, >=, <= should be removed. For example, if the normal range for a test is >100 and <300, then 100 should be entered."
pcornet,v4,lab_result_cm,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,"Arbitrary person-level identifier. Used to link across tables."
pcornet,v4,lab_result_cm,priority,NO,,,,NO,,E;R;S;NI;UN;OT,"E=Expedite R=Routine S=Stat NI=No information UN=Unknown OT=Other","Immediacy of test. The intent of this variable is to determine whether the test was obtained as part of routine care or as an emergent/urgent diagnostic test (designated as Stat or Expedite)."
pcornet,v4,lab_result_cm,raw_facility_code,NO,,,,NO,,,,Local facility code that identifies the hospital or clinic. Taken from facility claims.
