model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description,
pcornet,v4,obs_clin,obclinid,YES,,,,NO,,,,Arbitrary identifier for each unique OBS_CLIN record. ,
pcornet,v4,obs_clin,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,Arbitrary person-level identifier. Used to link across tables. ,
pcornet,v4,obs_clin,encounterid,NO,ENCOUNTER,ENCOUNTERID,,NO,,,,Arbitrary encounter-level identifier used to link across tables. ,
pcornet,v4,obs_clin,obsclin_providerid,NO,PROVIDER,PROVIDERID,,NO,,,,Provider code for the provider who ordered the observation. The provider code is a pseudoidentifier with a consistent crosswalk to the real identifier. ,
pcornet,v4,obs_clin,obsclin_date,NO,,,YYYY-MM-DD,NO,DATE,,,Date of observation/measurement ,
pcornet,v4,obs_clin,obsclin_time,NO,,,HH:MI (24-hour clock and zero padding),NO,TIME,,,Time of observation/measurement. ,
pcornet,v4,obs_clin,obsclin_type,NO,,,,NO,,LC;SM;NI;UN;OT,LC=LOINC SM=SNOMED CT (observable entity) NI=No information UN=Unknown OT=Other ,Terminology / vocabulary used to describe the clinical observation. ,
pcornet,v4,obs_clin,obsclin_code,NO,,,,NO,,,,"Code of the clinical observation in the vocabulary/terminology specified in OBSCLIN_TYPE.  Results with local versions of LOINC codes (e.g., LOINC candidate codes) should be included in the RAW_ table field.
The last digit of the LOINC code is a check digit and is always preceded by a hyphen. All parts of the LOINC code, including the hyphen, must be included. Do not pad codes with leading zeros.",
pcornet,v4,obs_clin,obsclin_result_qual,NO,,,,NO,,,,"Standardized result for qualitative results. This variable should be NI for quantitative results. If qualitative result cannot be harmonized to a value in OBSCLIN_RESULT_QUAL value set, please ensure that RAW_OBSCLIN_RESULT is populated with result value.",
pcornet,v4,obs_clin,obsclin_result_text,NO,,,,NO,,,,Narrative/textual clinical observations ,
pcornet,v4,obs_clin,obsclin_result_snomed,NO,,,,NO,,,,"If the qualitative result has been mapped to SNOMED CT, the corresponding SNOMED code can be placed here. Partners are not expected to derive or impute if not present in the source system.",
pcornet,v4,obs_clin,obsclin_result_num,NO,,,,NO,,,,"Standardized/converted result for quantitative results. Used to store quantitative results, including the numeric component of numeric results that contain operators (e.g., “<200”, “>= 0.5”). See guidance for RESULT_MODIFIER for further details.",
pcornet,v4,obs_clin,obsclin_result_modifier,NO,,,,NO,,EQ;GE;GT;LE;LT;TX;NI;UN;OT,EQ=Equal GE=Greater than or equal to  GT=Greater than LE=Less than or equal to LT=Less than TX=Text NI=No information UN=Unknown OT=Other,Modifier for result values. ,"Any symbols in the RAW_RESULT value should be reflected in the RESULT_MODIFIER variable. For example, if the original source data value is ""<=200"" then RAW_RESULT=200 and RESULT_MODIFIER=LE. RESULT_NUM would also be set to “200”. If the original source data value is text, then RESULT_MODIFIER=TXIf the original source data value is a numeric value, then RESULT_MODIFIER=EQ "
pcornet,v4,obs_clin,obsclin_result_unit,NO,,,,NO,,,,Converted/standardized units for the result. ,
pcornet,v4,obs_clin,raw_obsclin_name,NO,,,,NO,,,,Local name related to an individual clinical observation/measurement. ,
pcornet,v4,obs_clin,raw_obsclin_code,NO,,,,NO,,,,Local code related to an individual clinical observation/measurement. ,
pcornet,v4,obs_clin,raw_obsclin_type,NO,,,,NO,,, ,Terminology related to the code in RAW_OBSGEN_CODE. ,
pcornet,v4,obs_clin,raw_obsclin_result,NO,,,,NO,,,,"The original test result value as seen in your source data. Values may include a decimal point, a sign or text (e.g., POSITIVE, NEGATIVE, DETECTED). The symbols >, <, >=, <= should be removed from the value and stored in the Modifier variable instead. ",
pcornet,v4,obs_clin,raw_obsclin_modifier,NO,,,,NO,,,,The original modifier text as represented in your source data. ,
pcornet,v4,obs_clin,raw_obsclin_unit,NO,,,,NO,,,,Original units for the result in your source data. ,
