model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,v4,procedures,admit_date,NO,,,YYYY-MM-DD,YES,DATE,,,Please note: This is a field replicated from the ENCOUNTER table. See ENCOUNTER table for definitions.
pcornet,v4,procedures,enc_type,NO,,,,YES,,AV;ED;EI;IP;IS;OA;NI;UN;OT,"AV = Ambulatory VisitED = Emergency Department  EI=Emergency Department Admit to Inpatient Hospital Stay (permissible substitution)  IP = Inpatient Hospital Stay  IS = Non-Acute Institutional Stay  OS = Observation Stay  IC = Institutional Professional Consult (permissible substitution)  OA = Other Ambulatory Visit  NI = No information  UN = Unknown OT = Other",Please note: This is a field replicated from the ENCOUNTER table. See ENCOUNTER table for definitions.
pcornet,v4,procedures,encounterid,YES,ENCOUNTER,ENCOUNTERID,,NO,,,,Arbitrary encounter-level identifier. Used to link across tables.
pcornet,v4,procedures,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,Arbitrary person-level identifier. Used to link across tables.
pcornet,v4,procedures,proceduresid,YES,,,,,,,,"Arbitrary identifier for each unique record. Does not need to be persistent across refreshes, and may be created by methods such as sequence or GUID."
pcornet,v4,procedures,providerid,NO,,,,YES,,,,Please note: This is a field replicated from the ENCOUNTER table. See ENCOUNTER table for definitions.
pcornet,v4,procedures,px,YES,,,,NO,,,,Procedure code.
pcornet,v4,procedures,px_date,YES,,,YYYY-MM-DD,NO,DATE,,,"New to v2.0.Date the procedure was performed."
pcornet,v4,procedures,px_source,NO,,,,NO,,OD;BI;CL;NI;UN;OT,"OD=Order BI=Billing  CL=Claim  NI=No information  UN=Unknown  OT=Other","New to v2.0.    Source of the procedure information.  Order and billing pertain to internal healthcare processes and data sources. Claim pertains to data from the bill fulfillment, generally data sources held by insurers and other health plans. Length of data types updated in v4."
pcornet,v4,procedures,px_type,YES,,,,NO,,09;10;11;CH;LC;ND;RE;NI;UN;OT,"09 = ICD-9-PCS 10 = ICD-10-PCS  11 = ICD-11-PCS  CH = CPT or HCPCS  LC = LOINC  ND = NDC  RE = Revenue  NI = No information  UN = Unknown OT = Other","Procedure code type.    We include a number of code types for flexibility, but the basic requirement that the code refer to a medical procedure remains.    Revenue codes are a standard concept in Medicare billing and can be useful for defining care settings. If those codes are available they can be included.    Medications administered by clinicians can be captured in billing data and Electronic Health Records (EHRs) as HCPCS procedure codes. Administration (infusion) of chemotherapy is an example.    We are now seeing NDCs captured as part of procedures because payers are demanding it for payment authorization. Inclusion of this code type enables those data partners that capture the NDC along with the procedure to include the data.   Please note: The “Other” category is meant to identify internal use ontologies and codes. Value set modified in v4 to combine CPT and HCPCS codes into one category; also, ICD-9 value set item typo corrected to ICD-9-PCS."
pcornet,v4,procedures,raw_px,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v4,procedures,raw_px_type,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v4,procedures,ppx,NO,,,,NO,,P;S;NI;UN;OT,P=Principal S=Secondary NI=No information UN=Unknown OT=Other,Principal procedure flag. 
pcornet,v4,procedures,raw_ppx,NO,,,,NO,,,,"Field for originating value, prior to mapping into the PCORnet CDM value set. "
