model,version,table,description,
pcornet,v4,condition,A condition represents a patient’s diagnosed and self-reported health conditions and diseases. The patient’s medical history and current state may both be represented.,
pcornet,v4,death,Reported mortality information for patients.,
pcornet,v4,death_cause,The individual causes associated with a reported death.,
pcornet,v4,demographic,Demographics record the direct attributes of individual patients.,
pcornet,v4,diagnosis,Diagnosis codes indicate the results of diagnostic processes and medical coding within healthcare delivery.,
pcornet,v4,dispensing,"Outpatient pharmacy dispensing, such as prescriptions filled through a neighborhood pharmacy with a claim paid by an insurer. Outpatient dispensing may not be directly captured within healthcare systems.",
pcornet,v4,encounter,Encounters are interactions between patients and providers within the context of healthcare delivery.,
pcornet,v4,enrollment,"Enrollment is a concept that defines a period of time during which all medically-attended events are expected to be observed. This concept is often insurance-based, but other methods of defining enrollment are possible.",
pcornet,v4,harvest,Attributes associated with the specific PCORnet datamart implementation.,
pcornet,v4,lab_result_cm,"Laboratory result Common Measures (CM) use specific types of quantitative and qualitative measurements from blood and other body specimens. The common measures are defined in the same way across all PCORnet networks, but this table can also include other types of lab results.",
pcornet,v4,pcornet_trial,Patients who are enrolled in PCORnet clinical trials.,
pcornet,v4,prescribing,"Provider orders for medication dispensing and/or administration. These orders may take place in any setting, including the inpatient or outpatient basis.",
pcornet,v4,pro_cm,"Patient-reported outcome Common Measures are standardized measures that are defined in the same way across all PCORnet networks. Each measure is recorded at the individual item level: an individual question/statement, paired with its standardized response options.",
pcornet,v4,procedures,"Procedure codes indicate the discreet medical interventions and diagnostic testing, such as surgical procedures and lab orders, delivered within a healthcare context.",
pcornet,v4,vital,"Vital signs (such as height, weight, and blood pressure) directly measure an individual’s current state of attributes.",
pcornet,v4,med_admin,"Records of medications administered to patients by healthcare providers. These administrations may take place in any setting, including inpatient, outpatient or home health encounters"
pcornet,v4,provider,Data about the providers who are involved in the care processes documented in the CDM
pcornet,v4,obs_clin,Standardized qualitative and quantitative clinical observations about a patient
pcornet,v4,obs_gen, "This table provides a generalized structure for storing observations and is not optimized for analytical efficiency. As elements from this table are used in studies and/or distributed queries, additional representations of those data elements (i.e., new table structures) may be required to better support those activities"
