model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description
pcornet,v5.0,dispensing,dispense_amt,NO,,,,NO,UNITS,,,"Number of units (pills, tablets, vials) dispensed. Net amount per NDC per dispensing. This amount is typically found on the dispensing record. Positive values are expected. Important: Please do not calculate during CDM implementation. This field should only reflect originating source system calculations.  Number precision and scale updated in v4."
pcornet,v5.0,dispensing,dispense_date,YES,,,YYYY-MM-DD,NO,DATE,,,Dispensing date (as close as possible to date the person received the dispensing).
pcornet,v5.0,dispensing,dispense_sup,NO,,,,NO,DAYS,,,"Days supply. Number of days that the medication supports based on the number of doses as reported by the pharmacist. This amount is typically found on the dispensing record. Integer values are expected. Important: Please do not calculate during CDM implementation. This field should only reflect originating source system calculations.  Number precision and scale updated in v4."
pcornet,v5.0,dispensing,dispensingid,YES,,,,,,,,"Arbitrary identifier for each unique record. Does not need to be persistent across refreshes, and may be created by methods such as sequence or GUID."
pcornet,v5.0,dispensing,ndc,YES,,,,NO,,,,"National Drug Code in the 11-digit, no-dash, HIPAA format. Please expunge any place holders (such as dashes or extra digits). If needed, guidance on normalization for other forms of NDC can be found: http://www.nlm.nih.gov/research/umls/rxnorm/docs/2012/rxnorm_doco_full_2012-1.html (see section 6)"
pcornet,v5.0,dispensing,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,Arbitrary person-level identifier. Used to link across tables.
pcornet,v5.0,dispensing,prescribingid,NO,PRESCRIBING,PRESCRIBINGID,,,,,,"This is an optional relationship to the PRESCRIBING table, and may not be generally available. One prescribing order may generate multiple dispensing records."
pcornet,v5.0,dispensing,raw_ndc,NO,,,,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
pcornet,v5.0,dispensing,dispense_dose_disp,NO,,,,,,,,"Dose of a given mediation, as dispensed "
pcornet,v5.0,dispensing,dispense_dose_disp_unit,NO,,,,NO,,%;cm;g;g/hr;g/kg;g/m2;/[IU];/[IU]/mL;meq;meq/kg;meq/kg/h;mg;mg/h;mg/kg;mg/kg/d;mg/kg/h;mg/kg/min;mg/m2;mg/mL;10*6.[IU];mL;mL/h;mL/kg;mL/kg/h;mL/m2;mmol;mmol/kg;ng/kg/min;[oz_av];[tbs_us];[tsp_us];ug;ug/d;ug/hr;ug/kg;ug/kg/h;ug/kg/min;ug/m2;ug/min;[IU]/h;[IU]/kg;[IU]/kg/h;[IU]/min;[IU]/mL;NI;UN;OT,"% = percent cm = centimeter  g = gram  g/hr = gram per hour  g/kg = gram per kilogram  g/m2 = gram per square meter  /[IU] = per international unit  /[IU]/mL = per international unit per milliliter  meq = milliequivalent  meq/kg = milliequivalent per kilogram  meq/kg/h = milliequivalent per kilogram per hour  mg = milligram  mg/h = milligram per hour  mg/kg = milligram per kilogram  mg/kg/d = milligram per kilogram per day  mg/kg/h = milligram per kilogram per hour  mg/kg/min = milligram per kilogram per minute  mg/m2 = milligram per square meter  mg/mL = milligram per milliliter  10*6.[IU] = million international unit  mL = milliliter  mL/h = milliliter per hour  mL/kg = milliliter per kilogram  mL/kg/h = milliliter per kilogram per hour  mL/m2 = milliliter per square meter  mmol = millimole  mmol/kg = millimole per kilogram  ng/kg/min = nanogram per kilogram per minute  [oz_av] = ounce (US and British)  [tbs_us] = tablespoon (US)  [tsp_us] = teaspoon (US)  ug = microgram  ug/d = microgram per day  ug/hr = microgram per hour  ug/kg = microgram per kilogram  ug/kg/h = microgram per kilogram per hour  ug/kg/min = microgram per kilogram per minute  ug/m2 = microgram per square meter  ug/min = microgram per minutes  [IU]/h = international unit per hour  [IU]/kg = international unit per kilogram  [IU]/kg/h = international unit per kilogram per hour  [IU]/min = international unit per minute  [IU]/mL = international unit per milliliter  NI = No information  UN = Unknown OT = Other",Units of measure associated with the dose of the medication as dispensed 
