model,version,table,field,required,ref_table,ref_field,data_format,replicated,unit_of_measure,value_set,value_description,description,
pcornet,v5.0,private_address_history,addressid,YES,,,,NO,,,,"Arbitrary identifier for each unique address record.",
pcornet,v5.0,private_address_history,patid,YES,DEMOGRAPHIC,PATID,,NO,,,,"Arbitrary person-level identifier. Used to link across tables.",
pcornet,v5.0,private_address_history,address_use,NO,,,,NO,,PR;HC;RG;NI;UN;OT,"PR = Patient-reported medical history HC = Healthcare problem list RG = Registry cohort PC = PCORnetdefined condition algorithm NI = No information UN = Unknown OT = Other","Arbitrary person-level identifier. Used to link across tables.",
pcornet,v5.0,private_address_history,address_type,NO,,,,NO,,"PO;PH;BO;NI;UN;OT","PO=Postal; PH=Physical; BO=Both; NI=No information; UN=Unknown; OT=Other;","Type of address.",
pcornet,v5.0,private_address_history,address_preferred,NO,,,,NO,,"Y;N","Y=Yes; N=No","Indicates whether this address is the preferred one for a given patient, address use and address type within a given address period.",
pcornet,v5.0,private_address_history,address_street,NO,,,,NO,,,,"Primary address line (e.g., street name and number)",
pcornet,v5.0,private_address_history,address_detail,NO,,,,NO,,,,"Remaining address details (e.g., suite, post office box, other details)",
pcornet,v5.0,private_address_history,address_county,NO,,,,NO,,,,"The name of the county associated with the address.",
pcornet,v5.0,private_address_history,address_city,NO,,,,NO,,,,"The name of the city, town, village or other community.",
pcornet,v5.0,private_address_history,address_state,NO,,,,NO,,,,"State, as represented by 2-digit postal abbreviation.",
pcornet,v5.0,private_address_history,address_zip5,NO,,,,NO,,,,"5-digit postal code for the address.",
pcornet,v5.0,private_address_history,address_zip9,NO,,,,NO,,,,"9-digit postal code for the address.",
pcornet,v5.0,private_address_history,address_period_start,NO,,,,NO,,,,"Initial date when the address is known to be in use.",
pcornet,v5.0,private_address_history,address_period_end,NO,,,,NO,,,,"Date when address was no longer in use.",
pcornet,v5.0,private_address_history,raw_address_text,NO,,,,NO,,,,"Text representation of the address",
