model,version,table,field,type,length,precision,scale,default
pcornet,v5.0,encounter,admit_date,date,,,,
pcornet,v5.0,encounter,admit_time,string,5,,,
pcornet,v5.0,encounter,admitting_source,string,2,,,
pcornet,v5.0,encounter,discharge_date,date,,,,
pcornet,v5.0,encounter,discharge_disposition,string,2,,,
pcornet,v5.0,encounter,discharge_status,string,2,,,
pcornet,v5.0,encounter,discharge_time,string,5,,,
pcornet,v5.0,encounter,drg,string,3,,,
pcornet,v5.0,encounter,drg_type,string,2,,,
pcornet,v5.0,encounter,enc_type,string,2,,,
pcornet,v5.0,encounter,encounterid,string,,,,
pcornet,v5.0,encounter,facility_location,string,3,,,
pcornet,v5.0,encounter,facilityid,string,,,,
pcornet,v5.0,encounter,patid,string,,,,
pcornet,v5.0,encounter,providerid,string,,,,
pcornet,v5.0,encounter,raw_admitting_source,string,,,,
pcornet,v5.0,encounter,raw_discharge_disposition,string,,,,
pcornet,v5.0,encounter,raw_discharge_status,string,,,,
pcornet,v5.0,encounter,raw_drg_type,string,,,,
pcornet,v5.0,encounter,raw_enc_type,string,,,,
pcornet,v5.0,encounter,raw_siteid,string,,,,
pcornet,v5.0,encounter,payer_type_primary,string,5,,,
pcornet,v5.0,encounter,raw_payer_type_primary,string,,,,
pcornet,v5.0,encounter,raw_payer_name_primary,string,,,,
pcornet,v5.0,encounter,raw_payer_id_primary,string,,,,
pcornet,v5.0,encounter,payer_type_secondary,string,5,,,
pcornet,v5.0,encounter,raw_payer_type_secondary,string,,,,
pcornet,v5.0,encounter,raw_payer_name_secondary,string,,,,
pcornet,v5.0,encounter,raw_payer_id_secondary,string,,,,
pcornet,v5.0,encounter,facility_type,string,,,,
pcornet,v5.0,encounter,raw_facility_type,string,,,,

