model,version,table,field,type,length,precision,scale,default
pcornet,v5.0,private_address_geocode,geocodeid,string,,,,
pcornet,v5.0,private_address_geocode,addressid,string,,,,
pcornet,v5.0,private_address_geocode,geocode_state,string,,,,
pcornet,v5.0,private_address_geocode,geocode_county,string,,,,
pcornet,v5.0,private_address_geocode,geocode_longtitude,string,,,,
pcornet,v5.0,private_address_geocode,geocode_latitude,string,,,,
pcornet,v5.0,private_address_geocode,geocode_block,string,,,,
pcornet,v5.0,private_address_geocode,geocode_tract,string,,,,
pcornet,v5.0,private_address_geocode,geocode_group,string,,,,
pcornet,v5.0,private_address_geocode,geocode_zcta,string,,,,
pcornet,v5.0,private_address_geocode,geocode_custom,string,,,,
pcornet,v5.0,private_address_geocode,geocode_custom_text,string,,,,
pcornet,v5.0,private_address_geocode,shapefile,string,,,,
pcornet,v5.0,private_address_geocode,geo_accuracy,string,,,,
pcornet,v5.0,private_address_geocode,geo_prov_ref,string,,,,
pcornet,v5.0,private_address_geocode,assignment_date,date,,,,
