model,version,table,field,type,length,precision,scale,default
pcornet,v5.1,dispensing,dispense_amt,number,,15,8,
pcornet,v5.1,dispensing,dispense_date,date,,,,
pcornet,v5.1,dispensing,dispense_sup,number,,15,8,
pcornet,v5.1,dispensing,dispensingid,string,,,,
pcornet,v5.1,dispensing,ndc,string,11,,,
pcornet,v5.1,dispensing,patid,string,,,,
pcornet,v5.1,dispensing,prescribingid,string,,,,
pcornet,v5.1,dispensing,raw_ndc,string,,,,
pcornet,v5.1,dispensing,dispense_dose_disp,number,,15,8,
pcornet,v5.1,dispensing,dispense_dose_disp_unit,string,,,,
pcornet,v5.1,dispensing,dispense_route,string,,,,
pcornet,v5.1,dispensing,raw_dispense_dose_disp,string,,,,
pcornet,v5.1,dispensing,raw_dispense_dose_disp_unit,string,,,,
pcornet,v5.1,dispensing,raw_dispense_route,string,,,,
pcornet,v5.1,dispensing,dispense_source,string,,,,
