model,version,table,field,type,length,precision,scale,default
pcornet,v5.1,private_demographic,biobank_flag,string,1,,,
pcornet,v5.1,private_demographic,birth_date,date,,,,
pcornet,v5.1,private_demographic,birth_time,string,5,,,
pcornet,v5.1,private_demographic,hispanic,string,2,,,
pcornet,v5.1,private_demographic,patid,string,,,,
pcornet,v5.1,private_demographic,race,string,2,,,
pcornet,v5.1,private_demographic,raw_hispanic,string,,,,
pcornet,v5.1,private_demographic,raw_race,string,,,,
pcornet,v5.1,private_demographic,raw_sex,string,,,,
pcornet,v5.1,private_demographic,sex,string,2,,,
pcornet,v5.1,private_demographic,raw_sexual_orientation,string,,,,
pcornet,v5.1,private_demographic,raw_gender_identity,string,,,,
pcornet,v5.1,private_demographic,sexual_orientation,string,2,,,
pcornet,v5.1,private_demographic,gender_identity,string,2,,,
pcornet,v5.1,private_demographic,pat_pref_language_spoken,string,3,,,
pcornet,v5.1,private_demographic,raw_pat_pref_language_spoken,string,,,,
pcornet,v5.1,private_demographic,org_patid,string,,,,
pcornet,v5.1,private_demographic,managing_org,string,,,,
pcornet,v5.1,private_demographic,mrn,string,,,,
pcornet,v5.1,private_demographic,pat_firstname,string,,,,
pcornet,v5.1,private_demographic,pat_middlename,string,,,,
pcornet,v5.1,private_demographic,pat_lastname,string,,,,
pcornet,v5.1,private_demographic,raw_pat_name,string,,,,
pcornet,v5.1,private_demographic,pat_maidenname,string,,,,
pcornet,v5.1,private_demographic,primary_email,string,,,,
pcornet,v5.1,private_demographic,primary_phone,string,,,,
pcornet,v5.1,private_demographic,pat_ssn,string,,,,
