model,version,table,field,type,length,precision,scale,default
pcornet,v6.0,lab_result_cm,abn_ind,string,2,,,
pcornet,v6.0,lab_result_cm,encounterid,string,,,,
pcornet,v6.0,lab_result_cm,lab_loinc,string,10,,,
pcornet,v6.0,lab_result_cm,lab_order_date,date,,,,
pcornet,v6.0,lab_result_cm,lab_px,string,11,,,
pcornet,v6.0,lab_result_cm,lab_px_type,string,2,,,
pcornet,v6.0,lab_result_cm,lab_result_cm_id,string,,,,
pcornet,v6.0,lab_result_cm,norm_modifier_high,string,2,,,
pcornet,v6.0,lab_result_cm,norm_modifier_low,string,2,,,
pcornet,v6.0,lab_result_cm,norm_range_high,string,10,,,
pcornet,v6.0,lab_result_cm,norm_range_low,string,10,,,
pcornet,v6.0,lab_result_cm,patid,string,,,,
pcornet,v6.0,lab_result_cm,priority,string,2,,,
pcornet,v6.0,lab_result_cm,raw_facility_code,string,,,,
pcornet,v6.0,lab_result_cm,raw_lab_code,string,,,,
pcornet,v6.0,lab_result_cm,raw_lab_name,string,,,,
pcornet,v6.0,lab_result_cm,raw_order_dept,string,,,,
pcornet,v6.0,lab_result_cm,raw_panel,string,,,,
pcornet,v6.0,lab_result_cm,raw_result,string,,,,
pcornet,v6.0,lab_result_cm,raw_unit,string,,,,
pcornet,v6.0,lab_result_cm,result_date,date,,,,
pcornet,v6.0,lab_result_cm,result_loc,string,2,,,
pcornet,v6.0,lab_result_cm,result_modifier,string,2,,,
pcornet,v6.0,lab_result_cm,result_num,number,,15,8,
pcornet,v6.0,lab_result_cm,result_qual,string,,,,
pcornet,v6.0,lab_result_cm,result_time,string,5,,,
pcornet,v6.0,lab_result_cm,result_unit,string,,,,
pcornet,v6.0,lab_result_cm,specimen_date,date,,,,
pcornet,v6.0,lab_result_cm,specimen_source,string,,,,
pcornet,v6.0,lab_result_cm,specimen_time,string,5,,,
pcornet,v6.0,lab_result_cm,result_snomed,string,,,,
pcornet,v6.0,lab_result_cm,lab_loinc_source,string,2,,,
pcornet,v6.0,lab_result_cm,lab_result_source,string,2,,,
