model,version,table,field,type,length,precision,scale,default
pcornet,v6.0,obs_clin,obsclinid,string,,,,
pcornet,v6.0,obs_clin,patid,string,,,,
pcornet,v6.0,obs_clin,encounterid,string,,,,
pcornet,v6.0,obs_clin,obsclin_providerid,string,,,,
pcornet,v6.0,obs_clin,obsclin_start_date,date,,,,
pcornet,v6.0,obs_clin,obsclin_start_time,string,5,,,
pcornet,v6.0,obs_clin,obsclin_stop_date,date,,,,
pcornet,v6.0,obs_clin,obsclin_stop_time,string,5,,,
pcornet,v6.0,obs_clin,obsclin_type,string,2,,,
pcornet,v6.0,obs_clin,obsclin_code,string,,,,
pcornet,v6.0,obs_clin,obsclin_result_qual,string,,,,
pcornet,v6.0,obs_clin,obsclin_result_text,string,,,,
pcornet,v6.0,obs_clin,obsclin_result_snomed,string,,,,
pcornet,v6.0,obs_clin,obsclin_result_num,number,,15,8,
pcornet,v6.0,obs_clin,obsclin_result_modifier,string,2,,,
pcornet,v6.0,obs_clin,obsclin_result_unit,string,,,,
pcornet,v6.0,obs_clin,raw_obsclin_name,string,,,,
pcornet,v6.0,obs_clin,raw_obsclin_code,string,,,,
pcornet,v6.0,obs_clin,raw_obsclin_type,string,,,,
pcornet,v6.0,obs_clin,raw_obsclin_result,string,,,,
pcornet,v6.0,obs_clin,raw_obsclin_modifier,string,,,,
pcornet,v6.0,obs_clin,raw_obsclin_unit,string,,,,
pcornet,v6.0,obs_clin,obsclin_source,string,2,,,
pcornet,v6.0,obs_clin,obsclin_abn_ind,string,2,,,
