model,version,table,field,type,length,precision,scale,default
pcornet,v6.1,lab_history,labhistoryid,string,,,,
pcornet,v6.1,lab_history,lab_loinc,string,10,,,
pcornet,v6.1,lab_history,lab_facilityid,string,,,,
pcornet,v6.1,lab_history,sex,string,2,,,
pcornet,v6.1,lab_history,race,string,2,,,
pcornet,v6.1,lab_history,age_min_wks,number,8,,,
pcornet,v6.1,lab_history,age_max_wks,number,8,,,
pcornet,v6.1,lab_history,result_unit,string,,,,
pcornet,v6.1,lab_history,norm_modifier_high,string,2,,,
pcornet,v6.1,lab_history,norm_modifier_low,string,2,,,
pcornet,v6.1,lab_history,norm_range_high,string,10,,,
pcornet,v6.1,lab_history,norm_range_low,string,10,,,
pcornet,v6.1,lab_history,raw_lab_name,string,,,,
pcornet,v6.1,lab_history,raw_range,string,,,,
pcornet,v6.1,lab_history,raw_unit,string,,,,
pcornet,v6.1,lab_history,period_start,date,,,,
pcornet,v6.1,lab_history,period_end,date,,,,
