model,version,table,field,type,length,precision,scale,default
pcornet,v6.1,obs_gen,obsgenid,string,,,,
pcornet,v6.1,obs_gen,patid,string,,,,
pcornet,v6.1,obs_gen,encounterid,string,,,,
pcornet,v6.1,obs_gen,obsgen_providerid,string,,,,
pcornet,v6.1,obs_gen,obsgen_start_date,date,,,,
pcornet,v6.1,obs_gen,obsgen_start_time,string,5,,,
pcornet,v6.1,obs_gen,obsgen_stop_date,date,,,,
pcornet,v6.1,obs_gen,obsgen_stop_time,string,5,,,
pcornet,v6.1,obs_gen,obsgen_type,string,30,,,
pcornet,v6.1,obs_gen,obsgen_code,string,,,,
pcornet,v6.1,obs_gen,obsgen_result_qual,string,,,,
pcornet,v6.1,obs_gen,obsgen_result_text,string,,,,
pcornet,v6.1,obs_gen,obsgen_result_num,number,,15,8,
pcornet,v6.1,obs_gen,obsgen_result_modifier,string,2,,,
pcornet,v6.1,obs_gen,obsgen_result_unit,string,,,,
pcornet,v6.1,obs_gen,obsgen_table_modified,string,3,,,
pcornet,v6.1,obs_gen,obsgen_id_modified,string,,,,
pcornet,v6.1,obs_gen,raw_obsgen_name,string,,,,
pcornet,v6.1,obs_gen,raw_obsgen_code,string,,,,
pcornet,v6.1,obs_gen,raw_obsgen_type,string,,,,
pcornet,v6.1,obs_gen,raw_obsgen_result,string,,,,
pcornet,v6.1,obs_gen,raw_obsgen_unit,string,,,,
pcornet,v6.1,obs_gen,obsgen_source,string,2,,,
pcornet,v6.1,obs_gen,obsgen_abn_ind,string,2,,,
