model,version,table,field,ref_table,ref_field,name
pcornet,v7.0,condition,patid,demographic,patid,fk_condition_patid
pcornet,v7.0,condition,encounterid,encounter,encounterid,fk_condition_encounterid
pcornet,v7.0,death,patid,demographic,patid,fk_death_patid
pcornet,v7.0,death_cause,patid,demographic,patid,fk_death_cause_patid
pcornet,v7.0,diagnosis,patid,demographic,patid,fk_diagnosis_patid
pcornet,v7.0,diagnosis,encounterid,encounter,encounterid,fk_diagnosis_encounterid
pcornet,v7.0,diagnosis,providerid,provider,providerid,fk_diagnosis_providerid
pcornet,v7.0,dispensing,patid,demographic,patid,fk_dispensing_patid
pcornet,v7.0,dispensing,prescribingid,prescribing,prescribingid,fk_dispensing_prescribingid
pcornet,v7.0,encounter,patid,demographic,patid,fk_encounter_patid
pcornet,v7.0,encounter,providerid,provider,providerid,fk_encounter_providerid
pcornet,v7.0,enrollment,patid,demographic,patid,fk_enrollment_patid
pcornet,v7.0,hash_token,patid,demographic,patid,fk_hash_token_patid
pcornet,v7.0,immunization,patid,demographic,patid,fk_immun_patid
pcornet,v7.0,immunization,encounterid,encounter,encounterid,fk_immun_encounterid
pcornet,v7.0,immunization,vx_providerid,provider,providerid,fk_immun_providerid
pcornet,v7.0,immunization,proceduresid,procedures,proceduresid,fk_immun_procedureid
pcornet,v7.0,lab_result_cm,patid,demographic,patid,fk_lab_result_cm_patid
pcornet,v7.0,lab_result_cm,encounterid,encounter,encounterid,fk_lab_result_cm_encounterid
pcornet,v7.0,lds_address_history,patid,demographic,patid,fk_lds_addhist_patid
pcornet,v7.0,med_admin,patid,demographic,patid,fk_medadmin_patid
pcornet,v7.0,med_admin,encounterid,encounter,encounterid,fk_medadmin_encounterid
pcornet,v7.0,med_admin,medadmin_providerid,provider,providerid,fk_medadmin_providerid
pcornet,v7.0,obs_clin,patid,demographic,patid,fk_obsclin_patid
pcornet,v7.0,obs_clin,encounterid,encounter,encounterid,fk_obsclin_encounterid
pcornet,v7.0,obs_clin,obsclin_providerid,provider,providerid,fk_obsclin_providerid
pcornet,v7.0,obs_gen,patid,demographic,patid,fk_obsgen_patid
pcornet,v7.0,obs_gen,encounterid,encounter,encounterid,fk_obsgen_encounterid
pcornet,v7.0,obs_gen,obsgen_providerid,provider,providerid,fk_obsgen_providerid
pcornet,v7.0,pcornet_trial,patid,demographic,patid,fk_pcornet_trial_patid
pcornet,v7.0,prescribing,patid,demographic,patid,fk_prescribing_patid
pcornet,v7.0,prescribing,encounterid,encounter,encounterid,fk_prescribing_encounterid
pcornet,v7.0,private_address_geocode,addressid,private_address_history,addressid,fk_gecode_addressid
pcornet,v7.0,private_address_history,patid,demographic,patid,fk_add_history_patid
pcornet,v7.0,private_demographic,patid,demographic,patid,fk_priv_demographic_patid
pcornet,v7.0,pro_cm,patid,demographic,patid,fk_pro_cm_patid
pcornet,v7.0,pro_cm,encounterid,encounter,encounterid,fk_pro_cm_encounterid
pcornet,v7.0,procedures,patid,demographic,patid,fk_procedures_patid
pcornet,v7.0,procedures,encounterid,encounter,encounterid,fk_procedures_encounterid
pcornet,v7.0,procedures,providerid,provider,providerid,fk_procedures_providerid
pcornet,v7.0,vital,patid,demographic,patid,fk_vital_patid
pcornet,v7.0,vital,encounterid,encounter,encounterid,fk_vital_encounterid
pcornet,v7.0,external_meds,patid,demographic,patid,fk_ext_meds_patid
pcornet,v7.0,pat_relationship,patid_1,demographic,patid,fk_pat_rel_patid_1
pcornet,v7.0,pat_relationship,patid_2,demographic,patid,fk_pat_rel_patid_1
