model,version,type,table,field,name
pcornet,v7.0,not null,condition,conditionid,
pcornet,v7.0,not null,condition,patid,
pcornet,v7.0,not null,condition,condition,
pcornet,v7.0,not null,condition,condition_type,
pcornet,v7.0,not null,condition,condition_source,
pcornet,v7.0,not null,death,patid,
pcornet,v7.0,not null,death,death_source,
pcornet,v7.0,not null,death_cause,patid,
pcornet,v7.0,not null,death_cause,death_cause,
pcornet,v7.0,not null,death_cause,death_cause_code,
pcornet,v7.0,not null,death_cause,death_cause_type,
pcornet,v7.0,not null,death_cause,death_cause_source,
pcornet,v7.0,not null,demographic,patid,
pcornet,v7.0,not null,diagnosis,diagnosisid,
pcornet,v7.0,not null,diagnosis,patid,
pcornet,v7.0,not null,diagnosis,dx,
pcornet,v7.0,not null,diagnosis,dx_type,
pcornet,v7.0,not null,diagnosis,dx_source,
pcornet,v7.0,not null,dispensing,dispensingid,
pcornet,v7.0,not null,dispensing,patid,
pcornet,v7.0,not null,dispensing,dispense_date,
pcornet,v7.0,not null,dispensing,ndc,
pcornet,v7.0,not null,encounter,encounterid,
pcornet,v7.0,not null,encounter,patid,
pcornet,v7.0,not null,encounter,admit_date,
pcornet,v7.0,not null,encounter,enc_type,
pcornet,v7.0,not null,enrollment,patid,
pcornet,v7.0,not null,enrollment,enr_start_date,
pcornet,v7.0,not null,enrollment,enr_basis,
pcornet,v7.0,not null,harvest,networkid,
pcornet,v7.0,not null,harvest,datamartid,
pcornet,v7.0,not null,hash_token,patid,
pcornet,v7.0,not null,hash_token,token_encryption_key,
pcornet,v7.0,not null,immunization,immunizationid,
pcornet,v7.0,not null,immunization,patid,
pcornet,v7.0,not null,immunization,vx_code,
pcornet,v7.0,not null,immunization,vx_code_type,
pcornet,v7.0,not null,immunization,vx_status,
pcornet,v7.0,not null,lab_history,labhistoryid,
pcornet,v7.0,not null,lab_history,lab_loinc,
pcornet,v7.0,not null,lab_result_cm,lab_result_cm_id,
pcornet,v7.0,not null,lab_result_cm,patid,
pcornet,v7.0,not null,lab_result_cm,result_date,
pcornet,v7.0,not null,lds_address_history,patid,
pcornet,v7.0,not null,lds_address_history,addressid,
pcornet,v7.0,not null,lds_address_history,address_use,
pcornet,v7.0,not null,lds_address_history,address_type,
pcornet,v7.0,not null,lds_address_history,address_preferred,
pcornet,v7.0,not null,med_admin,medadminid,
pcornet,v7.0,not null,med_admin,patid,
pcornet,v7.0,not null,med_admin,medadmin_start_date,
pcornet,v7.0,not null,obs_clin,obsclinid,
pcornet,v7.0,not null,obs_clin,patid,
pcornet,v7.0,not null,obs_clin,obsclin_start_date,
pcornet,v7.0,not null,obs_gen,obsgenid,
pcornet,v7.0,not null,obs_gen,patid,
pcornet,v7.0,not null,obs_gen,obsgen_start_date,
pcornet,v7.0,not null,pcornet_trial,patid,
pcornet,v7.0,not null,pcornet_trial,trialid,
pcornet,v7.0,not null,pcornet_trial,participantid,
pcornet,v7.0,not null,prescribing,prescribingid,
pcornet,v7.0,not null,prescribing,patid,
pcornet,v7.0,not null,private_address_geocode,geocodeid,
pcornet,v7.0,not null,private_address_geocode,addressid,
pcornet,v7.0,not null,private_address_history,addressid,
pcornet,v7.0,not null,private_address_history,patid,
pcornet,v7.0,not null,private_address_history,address_use,
pcornet,v7.0,not null,private_address_history,address_type,
pcornet,v7.0,not null,private_address_history,address_preferred,
pcornet,v7.0,not null,private_demographic,patid,
pcornet,v7.0,not null,private_demographic,pat_firstname,
pcornet,v7.0,not null,private_demographic,pat_lastname,
pcornet,v7.0,not null,pro_cm,pro_cm_id,
pcornet,v7.0,not null,pro_cm,patid,
pcornet,v7.0,not null,pro_cm,pro_date,
pcornet,v7.0,not null,procedures,proceduresid,
pcornet,v7.0,not null,procedures,patid,
pcornet,v7.0,not null,procedures,px,
pcornet,v7.0,not null,procedures,px_type,
pcornet,v7.0,not null,provider,providerid,
pcornet,v7.0,not null,vital,vitalid,
pcornet,v7.0,not null,vital,patid,
pcornet,v7.0,not null,vital,measure_date,
pcornet,v7.0,not null,vital,vital_source,
