model,version,table,field,type,length,precision,scale,default
pcornet,v7.0,condition,condition,string,18,,,
pcornet,v7.0,condition,conditionid,string,,,,
pcornet,v7.0,condition,condition_source,string,2,,,
pcornet,v7.0,condition,condition_status,string,2,,,
pcornet,v7.0,condition,condition_type,string,2,,,
pcornet,v7.0,condition,encounterid,string,,,,
pcornet,v7.0,condition,onset_date,date,,,,
pcornet,v7.0,condition,patid,string,,,,
pcornet,v7.0,condition,raw_condition,string,,,,
pcornet,v7.0,condition,raw_condition_source,string,,,,
pcornet,v7.0,condition,raw_condition_status,string,,,,
pcornet,v7.0,condition,raw_condition_type,string,,,,
pcornet,v7.0,condition,report_date,date,,,,
pcornet,v7.0,condition,resolve_date,date,,,,
