model,version,table,field,type,length,precision,scale,default
pcornet,v7.0,hash_token,patid,string,,,,
pcornet,v7.0,hash_token,token_01,string,,,,
pcornet,v7.0,hash_token,token_02,string,,,,
pcornet,v7.0,hash_token,token_03,string,,,,
pcornet,v7.0,hash_token,token_04,string,,,,
pcornet,v7.0,hash_token,token_05,string,,,,
pcornet,v7.0,hash_token,token_06,string,,,,
pcornet,v7.0,hash_token,token_07,string,,,,
pcornet,v7.0,hash_token,token_08,string,,,,
pcornet,v7.0,hash_token,token_09,string,,,,
pcornet,v7.0,hash_token,token_101,string,,,,
pcornet,v7.0,hash_token,token_102,string,,,,
pcornet,v7.0,hash_token,token_103,string,,,,
pcornet,v7.0,hash_token,token_104,string,,,,
pcornet,v7.0,hash_token,token_105,string,,,,
pcornet,v7.0,hash_token,token_106,string,,,,
pcornet,v7.0,hash_token,token_107,string,,,,
pcornet,v7.0,hash_token,token_108,string,,,,
pcornet,v7.0,hash_token,token_109,string,,,,
pcornet,v7.0,hash_token,token_110,string,,,,
pcornet,v7.0,hash_token,token_111,string,,,,
pcornet,v7.0,hash_token,token_12,string,,,,
pcornet,v7.0,hash_token,token_14,string,,,,
pcornet,v7.0,hash_token,token_15,string,,,,
pcornet,v7.0,hash_token,token_16,string,,,,
pcornet,v7.0,hash_token,token_17,string,,,,
pcornet,v7.0,hash_token,token_18,string,,,,
pcornet,v7.0,hash_token,token_23,string,,,,
pcornet,v7.0,hash_token,token_24,string,,,,
pcornet,v7.0,hash_token,token_25,string,,,,
pcornet,v7.0,hash_token,token_26,string,,,,
pcornet,v7.0,hash_token,token_29,string,,,,
pcornet,v7.0,hash_token,token_30,string,,,,
pcornet,v7.0,hash_token,token_encryption_key,string,,,,
