model,version,table,field,type,length,precision,scale,default
pcornet,v7.0,private_address_history,addressid,string,,,,
pcornet,v7.0,private_address_history,patid,string,,,,
pcornet,v7.0,private_address_history,address_use,string,2,,,
pcornet,v7.0,private_address_history,address_type,string,2,,,
pcornet,v7.0,private_address_history,address_preferred,string,2,,,
pcornet,v7.0,private_address_history,address_street,string,,,,
pcornet,v7.0,private_address_history,address_detail,string,,,,
pcornet,v7.0,private_address_history,address_county,string,,,,
pcornet,v7.0,private_address_history,address_city,string,,,,
pcornet,v7.0,private_address_history,address_state,string,2,,,
pcornet,v7.0,private_address_history,address_zip5,string,5,,,
pcornet,v7.0,private_address_history,address_zip9,string,9,,,
pcornet,v7.0,private_address_history,address_period_start,date,,,,
pcornet,v7.0,private_address_history,address_period_end,date,,,,
pcornet,v7.0,private_address_history,raw_address_text,string,,,,
pcornet,v7.0,private_address_history,state_fips,,2,,,
pcornet,v7.0,private_address_history,county_fips,,5,,,
pcornet,v7.0,private_address_history,ruca_zip,,2,,,
pcornet,v7.0,private_address_history,current_address_flag,,1,,,
