model,version,table,field,type,length,precision,scale,default
pcornet,v7.0,pro_cm,encounterid,string,,,,
pcornet,v7.0,pro_cm,patid,string,,,,
pcornet,v7.0,pro_cm,pro_cm_id,string,,,,
pcornet,v7.0,pro_cm,pro_date,date,,,,
pcornet,v7.0,pro_cm,pro_time,string,5,,,
pcornet,v7.0,pro_cm,pro_cat,string,2,,,
pcornet,v7.0,pro_cm,pro_method,string,2,,,
pcornet,v7.0,pro_cm,pro_mode,string,2,,,
pcornet,v7.0,pro_cm,pro_source,string,2,,,
pcornet,v7.0,pro_cm,pro_response_num,number,,15,8,
pcornet,v7.0,pro_cm,pro_type,string,2,,,
pcornet,v7.0,pro_cm,pro_name,string,,,,
pcornet,v7.0,pro_cm,pro_code,string,50,,,
pcornet,v7.0,pro_cm,pro_response_text,string,,,,
pcornet,v7.0,pro_cm,pro_version,string,,,,
pcornet,v7.0,pro_cm,pro_seq,string,,,,
pcornet,v7.0,pro_cm,pro_fullname,string,,,,
pcornet,v7.0,pro_cm,pro_text,string,,,,
