model,version,table,field,required,ref_table,ref_field,description
pedsnet-bigint,v3.5,provider,care_site_id,Yes,care_site,care_site_id,"A foreign key to the main care site where the provider is practicing. This field is required in pedsnet-bigint, which is a deviation from OMOP CDM V4."
pedsnet-bigint,v3.5,provider,dea,No,,,The Drug Enforcement Administration (DEA) number of the provider. Optional – Do not transmit to DCC.
pedsnet-bigint,v3.5,provider,gender_concept_id,No,concept,concept_id,The gender of the provider
pedsnet-bigint,v3.5,provider,gender_source_concept_id,No,concept,concept_id,A foreign key to a concept that refers to the code used in the source.
pedsnet-bigint,v3.5,provider,gender_source_value,No,,,The source value for the provider gender.
pedsnet-bigint,v3.5,provider,npi,No,,,The National Provider Identifier (NPI) of the provider. Optional – Do not transmit to DCC.
pedsnet-bigint,v3.5,provider,provider_id,Yes,,,A unique identifier for each provider. Each site must maintain a map from this value to the identifier used for the provider in the source data.
pedsnet-bigint,v3.5,provider,provider_name,No,,,A description of the provider.
pedsnet-bigint,v3.5,provider,provider_source_value,Yes,,,"The identifier used for the provider in the source data, stored here for reference. Sites should create a random ID, but keep the mapping."
pedsnet-bigint,v3.5,provider,specialty_concept_id,No,concept,concept_id,A foreign key to a standard provider's specialty concept identifier in the Vocabulary. This is an optional field. pedsnet-bigint has not yet defined an ETL convention for selecting one specialty code for providers who have multiple specialties.
pedsnet-bigint,v3.5,provider,specialty_source_concept_id,No,concept,concept_id,A foreign key to a concept that refers to the code used in the source
pedsnet-bigint,v3.5,provider,specialty_source_value,No,,,"The source code for the provider specialty as it appears in the source data, stored here for reference."
pedsnet-bigint,v3.5,provider,year_of_birth,No,,,The year of birth of the provider
