model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,concept,concept_class_id,string,50,,,
pedsnet-bigint,v3.5,concept,concept_code,string,256,,,
pedsnet-bigint,v3.5,concept,concept_id,biginteger,,,,
pedsnet-bigint,v3.5,concept,concept_level,biginteger,,,,
pedsnet-bigint,v3.5,concept,concept_name,string,512,,,
pedsnet-bigint,v3.5,concept,domain_id,string,20,,,
pedsnet-bigint,v3.5,concept,invalid_reason,string,1,,,
pedsnet-bigint,v3.5,concept,standard_concept,string,1,,,
pedsnet-bigint,v3.5,concept,valid_end_date,date,,,,
pedsnet-bigint,v3.5,concept,valid_start_date,date,,,,
pedsnet-bigint,v3.5,concept,vocabulary_id,string,20,,,
