model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,device_exposure,device_exposure_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,device_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,device_exposure_start_date,date,,,,
pedsnet-bigint,v3.5,device_exposure,device_exposure_start_datetime,datetime,,,,
pedsnet-bigint,v3.5,device_exposure,device_exposure_end_date,date,,,,
pedsnet-bigint,v3.5,device_exposure,device_exposure_end_datetime,datetime,,,,
pedsnet-bigint,v3.5,device_exposure,device_type_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,unique_device_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,quantity,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,person_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,provider_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,device_source_value,string,,,,
pedsnet-bigint,v3.5,device_exposure,visit_occurrence_id,biginteger,,,,
pedsnet-bigint,v3.5,device_exposure,device_source_concept_id,biginteger,,,,
