model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,drug_strength,amount_unit_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,drug_strength,amount_value,number,,,,
pedsnet-bigint,v3.5,drug_strength,denominator_unit_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,drug_strength,denominator_value,number,,,,
pedsnet-bigint,v3.5,drug_strength,drug_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,drug_strength,ingredient_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,drug_strength,invalid_reason,string,1,,,
pedsnet-bigint,v3.5,drug_strength,numerator_unit_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,drug_strength,numerator_value,number,,,,
pedsnet-bigint,v3.5,drug_strength,valid_end_date,date,,,,
pedsnet-bigint,v3.5,drug_strength,valid_start_date,date,,,,
pedsnet-bigint,v3.5,drug_strength,box_size,biginteger,,,,
