model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,location_history,location_history_id,biginteger,,,,
pedsnet-bigint,v3.5,location_history,location_id,biginteger,,,,
pedsnet-bigint,v3.5,location_history,relationship_type_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,location_history,domain_id,string,,,,
pedsnet-bigint,v3.5,location_history,entity_id,biginteger,,,,
pedsnet-bigint,v3.5,location_history,location_preferred_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,location_history,start_date,date,,,,
pedsnet-bigint,v3.5,location_history,start_datetime,datetime,,,,
pedsnet-bigint,v3.5,location_history,end_date,date,,,,
pedsnet-bigint,v3.5,location_history,end_datetime,datetime,,,,
