model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,measurement,measurement_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,measurement_date,date,,,,
pedsnet-bigint,v3.5,measurement,measurement_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,measurement_source_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,measurement_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,measurement_datetime,datetime,,,,
pedsnet-bigint,v3.5,measurement,measurement_type_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,operator_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,person_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,provider_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,range_high,number,,,,
pedsnet-bigint,v3.5,measurement,range_low,number,,,,
pedsnet-bigint,v3.5,measurement,unit_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,unit_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,value_as_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,value_as_number,number,,,,
pedsnet-bigint,v3.5,measurement,value_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,visit_occurrence_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,range_low_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,range_low_operator_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,range_high_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,range_high_operator_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,measurement_order_date,date,,,,
pedsnet-bigint,v3.5,measurement,measurement_order_datetime,datetime,,,,
pedsnet-bigint,v3.5,measurement,measurement_result_date,date,,,,
pedsnet-bigint,v3.5,measurement,measurement_result_datetime,datetime,,,,
pedsnet-bigint,v3.5,measurement,specimen_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,priority_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,measurement,priority_source_value,string,,,,
pedsnet-bigint,v3.5,measurement,specimen_concept_id,biginteger,,,,
