model,version,table,field,type,length,precision,scale,default
pedsnet-bigint,v3.5,observation,observation_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,observation_date,date,,,,
pedsnet-bigint,v3.5,observation,observation_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,observation_source_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,observation_source_value,string,,,,
pedsnet-bigint,v3.5,observation,observation_datetime,datetime,,,,
pedsnet-bigint,v3.5,observation,observation_type_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,person_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,provider_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,qualifier_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,qualifier_source_value,string,,,,
pedsnet-bigint,v3.5,observation,unit_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,unit_source_value,string,,,,
pedsnet-bigint,v3.5,observation,value_as_concept_id,biginteger,,,,
pedsnet-bigint,v3.5,observation,value_as_number,number,,,,
pedsnet-bigint,v3.5,observation,value_as_string,string,,,,
pedsnet-bigint,v3.5,observation,visit_occurrence_id,biginteger,,,,
