model,version,type,name,table,field
pedsnet,v2.8,primary key,xpk_care_site,care_site,care_site_id
pedsnet,v2.8,primary key,xpk_concept,concept,concept_id
pedsnet,v2.8,primary key,xpk_concept_ancestor,concept_ancestor,ancestor_concept_id
pedsnet,v2.8,primary key,xpk_concept_ancestor,concept_ancestor,descendant_concept_id
pedsnet,v2.8,primary key,xpk_concept_class,concept_class,concept_class_id
pedsnet,v2.8,primary key,xpk_concept_relationship,concept_relationship,concept_id_1
pedsnet,v2.8,primary key,xpk_concept_relationship,concept_relationship,concept_id_2
pedsnet,v2.8,primary key,xpk_concept_relationship,concept_relationship,relationship_id
pedsnet,v2.8,primary key,xpk_condition_occurrence,condition_occurrence,condition_occurrence_id
pedsnet,v2.8,primary key,xpk_death,death,death_cause_id
pedsnet,v2.8,primary key,xpk_domain,domain,domain_id
pedsnet,v2.8,primary key,xpk_drug_exposure,drug_exposure,drug_exposure_id
pedsnet,v2.8,primary key,xpk_drug_strength,drug_strength,drug_concept_id
pedsnet,v2.8,primary key,xpk_drug_strength,drug_strength,ingredient_concept_id
pedsnet,v2.8,primary key,xpk_location,location,location_id
pedsnet,v2.8,primary key,xpk_measurement_labs,measurement_labs,labs_measurement_id
pedsnet,v2.8,primary key,xpk_measurement_anthro,measurement_anthro,anthro_measurement_id
pedsnet,v2.8,primary key,xpk_measurement_vitals,measurement_vitals,vitals_measurement_id
pedsnet,v2.8,primary key,xpk_observation,observation,observation_id
pedsnet,v2.8,primary key,xpk_observation_period,observation_period,observation_period_id
pedsnet,v2.8,primary key,xpk_person,person,person_id
pedsnet,v2.8,primary key,xpk_procedure_occurrence,procedure_occurrence,procedure_occurrence_id
pedsnet,v2.8,primary key,xpk_provider,provider,provider_id
pedsnet,v2.8,primary key,xpk_relationship,relationship,relationship_id
pedsnet,v2.8,primary key,xpk_source_to_concept_map,source_to_concept_map,source_vocabulary_id
pedsnet,v2.8,primary key,xpk_source_to_concept_map,source_to_concept_map,target_concept_id
pedsnet,v2.8,primary key,xpk_source_to_concept_map,source_to_concept_map,source_code
pedsnet,v2.8,primary key,xpk_source_to_concept_map,source_to_concept_map,valid_end_date
pedsnet,v2.8,primary key,xpk_visit_occurrence,visit_occurrence,visit_occurrence_id
pedsnet,v2.8,primary key,xpk_visit_payer,visit_payer,visit_payer_id
pedsnet,v2.8,primary key,xpk_vocabulary,vocabulary,vocabulary_id
pedsnet,v2.8,primary key,xpk_meas_organism,measurement_organism,meas_organism_id
pedsnet,v2.8,primary key,xpk_adt_occurrence,adt_occurrence,adt_occurrence_id
pedsnet,v2.8,primary key,xpk_dose_era,dose_era,dose_era_id
pedsnet,v2.8,primary key,xpk_drug_era,drug_era,drug_era_id
pedsnet,v2.8,primary key,xpk_condition_era,condition_era,condition_era_id
pedsnet,v2.8,primary key,xpk_immunization,immunization,immunization_id
