model,version,table,field,ref_table,ref_field,name
pedsnet-split,v2.8,care_site,location_id,location,location_id,fpk_care_site_location
pedsnet-split,v2.8,care_site,place_of_service_concept_id,concept,concept_id,fpk_care_site_place
pedsnet-split,v2.8,care_site,specialty_concept_id,concept,concept_id,fpk_specialty_concept
pedsnet-split,v2.8,concept,concept_class_id,concept_class,concept_class_id,fpk_concept_class
pedsnet-split,v2.8,concept,domain_id,domain,domain_id,fpk_concept_domain
pedsnet-split,v2.8,concept,vocabulary_id,vocabulary,vocabulary_id,fpk_concept_vocabulary
pedsnet-split,v2.8,concept_ancestor,ancestor_concept_id,concept,concept_id,fpk_concept_ancestor_concept_1
pedsnet-split,v2.8,concept_ancestor,descendant_concept_id,concept,concept_id,fpk_concept_ancestor_concept_2
pedsnet-split,v2.8,concept_class,concept_class_concept_id,concept,concept_id,fpk_concept_class_concept
pedsnet-split,v2.8,concept_relationship,concept_id_1,concept,concept_id,fpk_concept_relationship_c_1
pedsnet-split,v2.8,concept_relationship,concept_id_2,concept,concept_id,fpk_concept_relationship_c_2
pedsnet-split,v2.8,concept_relationship,relationship_id,relationship,relationship_id,fpk_concept_relationship_id
pedsnet-split,v2.8,concept_synonym,concept_id,concept,concept_id,fpk_concept_synonym_concept
pedsnet-split,v2.8,condition_occurrence,condition_concept_id,concept,concept_id,fpk_condition_concept
pedsnet-split,v2.8,condition_occurrence,condition_source_concept_id,concept,concept_id,fpk_condition_concept_s
pedsnet-split,v2.8,condition_occurrence,condition_type_concept_id,concept,concept_id,fpk_condition_type_concept
pedsnet-split,v2.8,condition_occurrence,person_id,person,person_id,fpk_condition_person
pedsnet-split,v2.8,condition_occurrence,provider_id,provider,provider_id,fpk_condition_provider
pedsnet-split,v2.8,condition_occurrence,condition_status_concept_id,concept,concept_id,fpk_condition_status
pedsnet-split,v2.8,condition_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_condition_visit
pedsnet-split,v2.8,death,cause_concept_id,concept,concept_id,fpk_death_cause_concept
pedsnet-split,v2.8,death,cause_source_concept_id,concept,concept_id,fpk_death_cause_concept_s
pedsnet-split,v2.8,death,death_type_concept_id,concept,concept_id,fpk_death_type_concept
pedsnet-split,v2.8,death,death_impute_concept_id,concept,concept_id,fpk_death_impute_concept
pedsnet-split,v2.8,death,person_id,person,person_id,fpk_death_person
pedsnet-split,v2.8,domain,domain_concept_id,concept,concept_id,fpk_domain_concept
pedsnet-split,v2.8,drug_exposure,dose_unit_concept_id,concept,concept_id,fpk_drug_dose_unit_concept
pedsnet-split,v2.8,drug_exposure,drug_concept_id,concept,concept_id,fpk_drug_concept
pedsnet-split,v2.8,drug_exposure,drug_source_concept_id,concept,concept_id,fpk_drug_concept_s
pedsnet-split,v2.8,drug_exposure,drug_type_concept_id,concept,concept_id,fpk_drug_type_concept
pedsnet-split,v2.8,drug_exposure,person_id,person,person_id,fpk_drug_person
pedsnet-split,v2.8,drug_exposure,provider_id,provider,provider_id,fpk_drug_provider
pedsnet-split,v2.8,drug_exposure,route_concept_id,concept,concept_id,fpk_drug_route_concept
pedsnet-split,v2.8,drug_exposure,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_drug_visit
pedsnet-split,v2.8,drug_strength,drug_concept_id,concept,concept_id,fpk_drug_strength_concept_1
pedsnet-split,v2.8,drug_strength,ingredient_concept_id,concept,concept_id,fpk_drug_strength_concept_2
pedsnet-split,v2.8,drug_strength,amount_unit_concept_id,concept,concept_id,fpk_drug_strength_unit_1
pedsnet-split,v2.8,drug_strength,numerator_unit_concept_id,concept,concept_id,fpk_drug_strength_unit_2
pedsnet-split,v2.8,drug_strength,denominator_unit_concept_id,concept,concept_id,fpk_drug_strength_unit_3
pedsnet-split,v2.8,fact_relationship,domain_concept_id_1,concept,concept_id,fpk_fact_domain_1
pedsnet-split,v2.8,fact_relationship,domain_concept_id_2,concept,concept_id,fpk_fact_domain_2
pedsnet-split,v2.8,fact_relationship,relationship_concept_id,concept,concept_id,fpk_fact_relationship
pedsnet-split,v2.8,measurement_labs,measurement_concept_id,concept,concept_id,fpk_measurement_concept
pedsnet-split,v2.8,measurement_labs,measurement_source_concept_id,concept,concept_id,fpk_measurement_concept_s
pedsnet-split,v2.8,measurement_labs,measurement_type_concept_id,concept,concept_id,fpk_measurement_type_concept
pedsnet-split,v2.8,measurement_labs,operator_concept_id,concept,concept_id,fpk_measurement_operator
pedsnet-split,v2.8,measurement_labs,person_id,person,person_id,fpk_measurement_person
pedsnet-split,v2.8,measurement_labs,provider_id,provider,provider_id,fpk_measurement_provider
pedsnet-split,v2.8,measurement_labs,priority_concept_id,concept,concept_id,fpk_measurement_priority
pedsnet-split,v2.8,measurement_labs,unit_concept_id,concept,concept_id,fpk_measurement_unit
pedsnet-split,v2.8,measurement_labs,value_as_concept_id,concept,concept_id,fpk_measurement_value
pedsnet-split,v2.8,measurement_labs,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_measurement_visit
pedsnet-split,v2.8,measurement_labs,range_low_operator_concept_id,concept,concept_id,fpk_measurement_range_low_op
pedsnet-split,v2.8,measurement_labs,range_high_operator_concept_id,concept,concept_id,fpk_measurement_range_high_op
pedsnet-split,v2.8,measurement_anthro,measurement_concept_id,concept,concept_id,fpk_meas_anthro_concept
pedsnet-split,v2.8,measurement_anthro,measurement_source_concept_id,concept,concept_id,fpk_meas_anthro_concept_s
pedsnet-split,v2.8,measurement_anthro,measurement_type_concept_id,concept,concept_id,fpk_meas_anthro_type_concept
pedsnet-split,v2.8,measurement_anthro,operator_concept_id,concept,concept_id,fpk_meas_anthro_operator
pedsnet-split,v2.8,measurement_anthro,person_id,person,person_id,fpk_meas_anthro_person
pedsnet-split,v2.8,measurement_anthro,provider_id,provider,provider_id,fpk_meas_anthro_provider
pedsnet-split,v2.8,measurement_anthro,priority_concept_id,concept,concept_id,fpk_meas_anthro_priority
pedsnet-split,v2.8,measurement_anthro,unit_concept_id,concept,concept_id,fpk_meas_anthro_unit
pedsnet-split,v2.8,measurement_anthro,value_as_concept_id,concept,concept_id,fpk_meas_anthro_value
pedsnet-split,v2.8,measurement_anthro,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_meas_anthro_visit
pedsnet-split,v2.8,measurement_anthro,range_low_operator_concept_id,concept,concept_id,fpk_meas_anthro_range_low_op
pedsnet-split,v2.8,measurement_anthro,range_high_operator_concept_id,concept,concept_id,fpk_meas_anthro_range_high_op
pedsnet-split,v2.8,measurement_vitals,measurement_concept_id,concept,concept_id,fpk_meas_vit_concept
pedsnet-split,v2.8,measurement_vitals,measurement_source_concept_id,concept,concept_id,fpk_meas_vit_concept_s
pedsnet-split,v2.8,measurement_vitals,measurement_type_concept_id,concept,concept_id,fpk_meas_vit_type_concept
pedsnet-split,v2.8,measurement_vitals,operator_concept_id,concept,concept_id,fpk_meas_vit_operator
pedsnet-split,v2.8,measurement_vitals,person_id,person,person_id,fpk_meas_vit_person
pedsnet-split,v2.8,measurement_vitals,provider_id,provider,provider_id,fpk_meas_vit_provider
pedsnet-split,v2.8,measurement_vitals,priority_concept_id,concept,concept_id,fpk_meas_vit_priority
pedsnet-split,v2.8,measurement_vitals,unit_concept_id,concept,concept_id,fpk_meas_vit_unit
pedsnet-split,v2.8,measurement_vitals,value_as_concept_id,concept,concept_id,fpk_meas_vit_value
pedsnet-split,v2.8,measurement_vitals,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_meas_vit_visit
pedsnet-split,v2.8,measurement_vitals,range_low_operator_concept_id,concept,concept_id,fpk_meas_vit_range_low_op
pedsnet-split,v2.8,measurement_vitals,range_high_operator_concept_id,concept,concept_id,fpk_meas_vit_range_high_op
pedsnet-split,v2.8,observation,observation_concept_id,concept,concept_id,fpk_observation_concept
pedsnet-split,v2.8,observation,observation_source_concept_id,concept,concept_id,fpk_observation_concept_s
pedsnet-split,v2.8,observation,observation_type_concept_id,concept,concept_id,fpk_observation_type_concept
pedsnet-split,v2.8,observation,person_id,person,person_id,fpk_observation_person
pedsnet-split,v2.8,observation,provider_id,provider,provider_id,fpk_observation_provider
pedsnet-split,v2.8,observation,qualifier_concept_id,concept,concept_id,fpk_observation_qualifier
pedsnet-split,v2.8,observation,unit_concept_id,concept,concept_id,fpk_observation_unit
pedsnet-split,v2.8,observation,value_as_concept_id,concept,concept_id,fpk_observation_value
pedsnet-split,v2.8,observation,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_observation_visit
pedsnet-split,v2.8,observation_period,period_type_concept_id,concept,concept_id,fpk_observation_period_concept
pedsnet-split,v2.8,observation_period,person_id,person,person_id,fpk_observation_period_person
pedsnet-split,v2.8,person,care_site_id,care_site,care_site_id,fpk_person_care_site
pedsnet-split,v2.8,person,ethnicity_concept_id,concept,concept_id,fpk_person_ethnicity_concept
pedsnet-split,v2.8,person,ethnicity_source_concept_id,concept,concept_id,fpk_person_ethnicity_concept_s
pedsnet-split,v2.8,person,gender_concept_id,concept,concept_id,fpk_person_gender_concept
pedsnet-split,v2.8,person,gender_source_concept_id,concept,concept_id,fpk_person_gender_concept_s
pedsnet-split,v2.8,person,location_id,location,location_id,fpk_person_location
pedsnet-split,v2.8,person,provider_id,provider,provider_id,fpk_person_provider
pedsnet-split,v2.8,person,race_concept_id,concept,concept_id,fpk_person_race_concept
pedsnet-split,v2.8,person,race_source_concept_id,concept,concept_id,fpk_person_race_concept_s
pedsnet-split,v2.8,person,language_concept_id,concept,concept_id,fpk_person_lang_concept
pedsnet-split,v2.8,person,language_source_concept_id,concept,concept_id,fpk_person_lang_concept_s
pedsnet-split,v2.8,procedure_occurrence,modifier_concept_id,concept,concept_id,fpk_procedure_modifier
pedsnet-split,v2.8,procedure_occurrence,person_id,person,person_id,fpk_procedure_person
pedsnet-split,v2.8,procedure_occurrence,procedure_concept_id,concept,concept_id,fpk_procedure_concept
pedsnet-split,v2.8,procedure_occurrence,procedure_source_concept_id,concept,concept_id,fpk_procedure_concept_s
pedsnet-split,v2.8,procedure_occurrence,procedure_type_concept_id,concept,concept_id,fpk_procedure_type_concept
pedsnet-split,v2.8,procedure_occurrence,provider_id,provider,provider_id,fpk_procedure_provider
pedsnet-split,v2.8,procedure_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_procedure_visit
pedsnet-split,v2.8,provider,care_site_id,care_site,care_site_id,fpk_provider_care_site
pedsnet-split,v2.8,provider,gender_concept_id,concept,concept_id,fpk_provider_gender
pedsnet-split,v2.8,provider,gender_source_concept_id,concept,concept_id,fpk_provider_gender_s
pedsnet-split,v2.8,provider,specialty_concept_id,concept,concept_id,fpk_provider_specialty
pedsnet-split,v2.8,provider,specialty_source_concept_id,concept,concept_id,fpk_provider_specialty_s
pedsnet-split,v2.8,relationship,relationship_concept_id,concept,concept_id,fpk_relationship_concept
pedsnet-split,v2.8,relationship,reverse_relationship_id,relationship,relationship_id,fpk_relationship_reverse
pedsnet-split,v2.8,source_to_concept_map,source_vocabulary_id,vocabulary,vocabulary_id,fpk_source_to_concept_map_v_1
pedsnet-split,v2.8,source_to_concept_map,target_vocabulary_id,vocabulary,vocabulary_id,fpk_source_to_concept_map_v_2
pedsnet-split,v2.8,source_to_concept_map,target_concept_id,concept,concept_id,fpk_source_to_concept_map_c_1
pedsnet-split,v2.8,visit_occurrence,care_site_id,care_site,care_site_id,fpk_visit_care_site
pedsnet-split,v2.8,visit_occurrence,person_id,person,person_id,fpk_visit_person
pedsnet-split,v2.8,visit_occurrence,provider_id,provider,provider_id,fpk_visit_provider
