model,version,table,field,type,length,precision,scale,default
pedsnet-split,v2.8,concept,concept_class_id,string,20,,,
pedsnet-split,v2.8,concept,concept_code,string,256,,,
pedsnet-split,v2.8,concept,concept_id,integer,,,,
pedsnet-split,v2.8,concept,concept_level,integer,,,,
pedsnet-split,v2.8,concept,concept_name,string,512,,,
pedsnet-split,v2.8,concept,domain_id,string,20,,,
pedsnet-split,v2.8,concept,invalid_reason,string,1,,,
pedsnet-split,v2.8,concept,standard_concept,string,1,,,
pedsnet-split,v2.8,concept,valid_end_date,date,,,,
pedsnet-split,v2.8,concept,valid_start_date,date,,,,
pedsnet-split,v2.8,concept,vocabulary_id,string,20,,,
