model,version,table,field,type,length,precision,scale,default
pedsnet,v2.8,measurement_anthro,measurement_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,measurement_date,date,,,,
pedsnet,v2.6,measurement_anthro,anthro_measurement_id,integer,,,,
pedsnet,v2.6,measurement_anthro,measurement_source_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,measurement_source_value,string,,,,
pedsnet,v2.6,measurement_anthro,measurement_datetime,datetime,,,,
pedsnet,v2.6,measurement_anthro,measurement_type_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,operator_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,person_id,integer,,,,
pedsnet,v2.6,measurement_anthro,provider_id,integer,,,,
pedsnet,v2.6,measurement_anthro,range_high,number,,,,
pedsnet,v2.6,measurement_anthro,range_low,number,,,,
pedsnet,v2.6,measurement_anthro,unit_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,unit_source_value,string,,,,
pedsnet,v2.6,measurement_anthro,value_as_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,value_as_number,number,,,,
pedsnet,v2.6,measurement_anthro,value_source_value,string,,,,
pedsnet,v2.6,measurement_anthro,visit_occurrence_id,integer,,,,
pedsnet,v2.6,measurement_anthro,range_low_source_value,string,,,,
pedsnet,v2.6,measurement_anthro,range_low_operator_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,range_high_source_value,string,,,,
pedsnet,v2.6,measurement_anthro,range_high_operator_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,measurement_order_date,date,,,,
pedsnet,v2.6,measurement_anthro,measurement_order_datetime,datetime,,,,
pedsnet,v2.6,measurement_anthro,measurement_result_date,date,,,,
pedsnet,v2.6,measurement_anthro,measurement_result_datetime,datetime,,,,
pedsnet,v2.6,measurement_anthro,specimen_source_value,string,,,,
pedsnet,v2.6,measurement_anthro,priority_concept_id,integer,,,,
pedsnet,v2.6,measurement_anthro,priority_source_value,string,,,,
