model,version,table,field,type,length,precision,scale,default
pedsnet-split,v2.8,measurement_labs,measurement_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,measurement_date,date,,,,
pedsnet-split,v2.6,measurement_labs,labs_measurement_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,measurement_source_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,measurement_source_value,string,,,,
pedsnet-split,v2.6,measurement_labs,measurement_datetime,datetime,,,,
pedsnet-split,v2.6,measurement_labs,measurement_type_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,operator_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,person_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,provider_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,range_high,number,,,,
pedsnet-split,v2.6,measurement_labs,range_low,number,,,,
pedsnet-split,v2.6,measurement_labs,unit_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,unit_source_value,string,,,,
pedsnet-split,v2.6,measurement_labs,value_as_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,value_as_number,number,,,,
pedsnet-split,v2.6,measurement_labs,value_source_value,string,,,,
pedsnet-split,v2.6,measurement_labs,visit_occurrence_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,range_low_source_value,string,,,,
pedsnet-split,v2.6,measurement_labs,range_low_operator_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,range_high_source_value,string,,,,
pedsnet-split,v2.6,measurement_labs,range_high_operator_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,measurement_order_date,date,,,,
pedsnet-split,v2.6,measurement_labs,measurement_order_datetime,datetime,,,,
pedsnet-split,v2.6,measurement_labs,measurement_result_date,date,,,,
pedsnet-split,v2.6,measurement_labs,measurement_result_datetime,datetime,,,,
pedsnet-split,v2.6,measurement_labs,specimen_source_value,string,,,,
pedsnet-split,v2.6,measurement_labs,priority_concept_id,integer,,,,
pedsnet-split,v2.6,measurement_labs,priority_source_value,string,,,,
