model,version,table,field,type,length,precision,scale,default
pedsnet,v2.8,measurement_vitals,measurement_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,measurement_date,date,,,,
pedsnet,v2.6,measurement_vitals,vitals_measurement_id,integer,,,,
pedsnet,v2.6,measurement_vitals,measurement_source_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,measurement_source_value,string,,,,
pedsnet,v2.6,measurement_vitals,measurement_datetime,datetime,,,,
pedsnet,v2.6,measurement_vitals,measurement_type_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,operator_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,person_id,integer,,,,
pedsnet,v2.6,measurement_vitals,provider_id,integer,,,,
pedsnet,v2.6,measurement_vitals,range_high,number,,,,
pedsnet,v2.6,measurement_vitals,range_low,number,,,,
pedsnet,v2.6,measurement_vitals,unit_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,unit_source_value,string,,,,
pedsnet,v2.6,measurement_vitals,value_as_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,value_as_number,number,,,,
pedsnet,v2.6,measurement_vitals,value_source_value,string,,,,
pedsnet,v2.6,measurement_vitals,visit_occurrence_id,integer,,,,
pedsnet,v2.6,measurement_vitals,range_low_source_value,string,,,,
pedsnet,v2.6,measurement_vitals,range_low_operator_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,range_high_source_value,string,,,,
pedsnet,v2.6,measurement_vitals,range_high_operator_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,measurement_order_date,date,,,,
pedsnet,v2.6,measurement_vitals,measurement_order_datetime,datetime,,,,
pedsnet,v2.6,measurement_vitals,measurement_result_date,date,,,,
pedsnet,v2.6,measurement_vitals,measurement_result_datetime,datetime,,,,
pedsnet,v2.6,measurement_vitals,specimen_source_value,string,,,,
pedsnet,v2.6,measurement_vitals,priority_concept_id,integer,,,,
pedsnet,v2.6,measurement_vitals,priority_source_value,string,,,,
