model,version,table,field,type,length,precision,scale,default
pedsnet-split,v2.8,observation,observation_concept_id,integer,,,,
pedsnet-split,v2.8,observation,observation_date,date,,,,
pedsnet-split,v2.8,observation,observation_id,integer,,,,
pedsnet-split,v2.8,observation,observation_source_concept_id,integer,,,,
pedsnet-split,v2.8,observation,observation_source_value,string,,,,
pedsnet-split,v2.8,observation,observation_datetime,datetime,,,,
pedsnet-split,v2.8,observation,observation_type_concept_id,integer,,,,
pedsnet-split,v2.8,observation,person_id,integer,,,,
pedsnet-split,v2.8,observation,provider_id,integer,,,,
pedsnet-split,v2.8,observation,qualifier_concept_id,integer,,,,
pedsnet-split,v2.8,observation,qualifier_source_value,string,,,,
pedsnet-split,v2.8,observation,unit_concept_id,integer,,,,
pedsnet-split,v2.8,observation,unit_source_value,string,,,,
pedsnet-split,v2.8,observation,value_as_concept_id,integer,,,,
pedsnet-split,v2.8,observation,value_as_number,number,,,,
pedsnet-split,v2.8,observation,value_as_string,string,,,,
pedsnet-split,v2.8,observation,visit_occurrence_id,integer,,,,
