model,version,table,field,type,length,precision,scale,default
pedsnet-split,v2.8,provider,care_site_id,integer,,,,
pedsnet-split,v2.8,provider,dea,string,,,,
pedsnet-split,v2.8,provider,gender_concept_id,integer,,,,
pedsnet-split,v2.8,provider,gender_source_concept_id,integer,,,,
pedsnet-split,v2.8,provider,gender_source_value,string,,,,
pedsnet-split,v2.8,provider,npi,string,,,,
pedsnet-split,v2.8,provider,provider_id,integer,,,,
pedsnet-split,v2.8,provider,provider_name,string,,,,
pedsnet-split,v2.8,provider,provider_source_value,string,,,,
pedsnet-split,v2.8,provider,specialty_concept_id,integer,,,,
pedsnet-split,v2.8,provider,specialty_source_concept_id,integer,,,,
pedsnet-split,v2.8,provider,specialty_source_value,string,,,,
pedsnet-split,v2.8,provider,year_of_birth,integer,,,,
